time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2017-06-03T11:58:29.70Z,44.3547459,12.1658072,3724.121,-52.25,5.56,1.68,2.204,3.031,0.83,173.92747,0.69171,3,9
2017-06-03T11:58:29.80Z,44.3546987,12.1658146,3723.980,-52.60,5.49,1.87,2.207,3.030,0.83,174.04160,0.63842,3,9
2017-06-03T11:58:29.90Z,44.3546517,12.1658217,3723.723,-52.52,5.33,2.38,2.204,3.029,0.72,174.20504,0.57266,3,9
2017-06-03T11:58:30.00Z,44.3546051,12.1658289,3723.551,-52.14,5.95,2.12,2.203,3.029,0.70,173.49191,0.64246,3,9
2017-06-03T11:58:30.10Z,44.3545582,12.1658365,3723.353,-52.01,6.11,2.00,2.201,3.029,0.70,173.30253,0.60476,3,9
2017-06-03T11:58:30.20Z,44.3545112,12.1658440,3723.120,-52.34,5.99,2.19,2.198,3.018,0.70,173.47284,0.69674,3,9
2017-06-03T11:58:30.30Z,44.3544639,12.1658512,3722.797,-52.41,5.83,2.50,2.194,2.985,0.70,173.65388,0.67681,3,9
2017-06-03T11:58:30.40Z,44.3544168,12.1658580,3722.509,-52.34,5.65,2.53,2.190,2.952,0.69,173.84344,0.71657,3,9
2017-06-03T11:58:30.50Z,44.3543698,12.1658647,3722.267,-52.33,5.51,2.51,2.190,2.920,0.81,173.98404,0.74792,3,9
2017-06-03T11:58:30.60Z,44.3543225,12.1658717,3721.996,-52.53,5.80,2.52,2.192,2.913,0.86,173.69739,0.73113,3,9
2017-06-03T11:58:30.70Z,44.3542752,12.1658788,3721.776,-52.86,5.76,2.68,2.194,2.906,0.87,173.78483,0.71307,3,9
2017-06-03T11:58:30.80Z,44.3542278,12.1658859,3721.522,-52.80,5.88,2.71,2.196,2.898,0.87,173.64495,0.69382,3,9
2017-06-03T11:58:30.90Z,44.3541805,12.1658932,3721.324,-52.89,5.85,2.63,2.197,2.888,0.78,173.68925,0.66237,3,9
2017-06-03T11:58:31.00Z,44.3541335,12.1659002,3721.124,-52.58,5.69,2.62,2.196,2.883,0.76,173.82475,0.56261,3,9
2017-06-03T11:58:31.10Z,44.3540861,12.1659071,3720.887,-53.02,5.59,2.80,2.194,2.881,0.67,173.98605,0.59477,3,9
2017-06-03T11:58:31.20Z,44.3540388,12.1659141,3720.604,-52.67,5.73,2.81,2.192,2.880,0.68,173.79689,0.60718,3,9
2017-06-03T11:58:31.30Z,44.3539915,12.1659215,3720.367,-52.72,5.90,2.67,2.192,2.879,0.77,173.61918,0.62022,3,9
2017-06-03T11:58:31.40Z,44.3539443,12.1659286,3720.152,-52.75,5.67,2.54,2.193,2.878,0.82,173.86937,0.62143,3,9
2017-06-03T11:58:31.50Z,44.3538969,12.1659356,3719.916,-52.82,5.64,2.43,2.194,2.876,0.83,173.90619,0.61512,3,9
2017-06-03T11:58:31.60Z,44.3538497,12.1659430,3719.652,-52.63,5.81,2.41,2.194,2.873,0.73,173.69766,0.58084,3,9
2017-06-03T11:58:31.70Z,44.3538026,12.1659508,3719.478,-52.42,5.74,2.27,2.190,2.865,0.63,173.75061,0.54424,3,9
2017-06-03T11:58:31.80Z,44.3537554,12.1659584,3719.364,-52.66,5.63,2.25,2.183,2.852,0.61,173.89529,0.54268,3,9
2017-06-03T11:58:31.90Z,44.3537079,12.1659664,3719.278,-52.81,5.80,2.23,2.174,2.839,0.59,173.72849,0.50634,3,9
2017-06-03T11:58:32.00Z,44.3536602,12.1659749,3719.094,-52.75,5.91,2.15,2.169,2.834,0.67,173.60226,0.50390,3,9
2017-06-03T11:58:32.10Z,44.3536130,12.1659822,3718.901,-52.64,5.78,2.06,2.167,2.831,0.70,173.73460,0.56075,3,9
2017-06-03T11:58:32.20Z,44.3535658,12.1659892,3718.692,-52.74,5.63,1.96,2.166,2.829,0.71,173.90999,0.60683,3,9
2017-06-03T11:58:32.30Z,44.3535187,12.1659962,3718.475,-52.68,5.70,1.98,2.168,2.831,0.79,173.82490,0.74241,3,9
2017-06-03T11:58:32.40Z,44.3534715,12.1660033,3718.238,-52.55,5.72,2.02,2.171,2.834,0.79,173.79201,0.71107,3,9
2017-06-03T11:58:32.50Z,44.3534242,12.1660104,3717.994,-52.64,5.70,2.04,2.173,2.838,0.77,173.81519,0.60357,3,9
2017-06-03T11:58:32.60Z,44.3533768,12.1660176,3717.788,-52.80,5.74,1.90,2.174,2.842,0.76,173.80049,0.55359,3,9
2017-06-03T11:58:32.70Z,44.3533295,12.1660254,3717.635,-52.73,5.92,1.90,2.173,2.845,0.76,173.59354,0.53437,3,9
2017-06-03T11:58:32.80Z,44.3532819,12.1660333,3717.508,-52.77,5.86,1.85,2.171,2.847,0.75,173.66456,0.50553,3,9
2017-06-03T11:58:32.90Z,44.3532341,12.1660412,3717.380,-52.84,5.75,1.77,2.170,2.850,0.75,173.78553,0.49293,3,9
2017-06-03T11:58:33.00Z,44.3531866,12.1660483,3717.224,-52.87,5.68,1.68,2.171,2.854,0.74,173.86356,0.58606,3,9
2017-06-03T11:58:33.10Z,44.3531390,12.1660553,3717.053,-52.81,5.62,1.64,2.172,2.858,0.74,173.92695,0.63425,3,9
2017-06-03T11:58:33.20Z,44.3530915,12.1660624,3716.867,-52.73,5.69,1.76,2.174,2.862,0.75,173.83741,0.65681,3,9
2017-06-03T11:58:33.30Z,44.3530436,12.1660700,3716.627,-52.96,6.29,1.83,2.175,2.866,0.73,173.22527,0.65308,3,9
2017-06-03T11:58:33.40Z,44.3529961,12.1660779,3716.473,-52.72,6.20,1.87,2.177,2.869,0.72,173.29393,0.60005,3,9
2017-06-03T11:58:33.50Z,44.3529486,12.1660855,3716.294,-52.80,6.06,1.67,2.174,2.868,0.62,173.45528,0.48790,3,9
2017-06-03T11:58:33.60Z,44.3529010,12.1660931,3716.167,-52.74,6.16,1.46,2.170,2.867,0.64,173.33752,0.45698,3,9
2017-06-03T11:58:33.70Z,44.3528533,12.1661007,3715.973,-52.77,6.02,1.49,2.168,2.866,0.71,173.49118,0.52308,3,9
2017-06-03T11:58:33.80Z,44.3528059,12.1661081,3715.816,-52.71,5.85,1.53,2.165,2.864,0.72,173.66556,0.51954,3,9
2017-06-03T11:58:33.90Z,44.3527586,12.1661154,3715.685,-52.52,5.84,1.49,2.163,2.862,0.77,173.66078,0.51304,3,9
2017-06-03T11:58:34.00Z,44.3527110,12.1661231,3715.531,-52.79,6.00,1.40,2.159,2.860,0.77,173.51587,0.44023,3,9
2017-06-03T11:58:34.10Z,44.3526631,12.1661311,3715.366,-52.90,6.09,1.41,2.153,2.859,0.73,173.43177,0.41710,3,9
2017-06-03T11:58:34.20Z,44.3526155,12.1661394,3715.304,-52.94,6.04,1.30,2.147,2.856,0.66,173.48979,0.40006,3,9
2017-06-03T11:58:34.30Z,44.3525679,12.1661476,3715.166,-52.69,6.21,1.38,2.142,2.853,0.69,173.27625,0.40999,3,9
2017-06-03T11:58:34.40Z,44.3525203,12.1661558,3715.055,-52.81,6.16,1.36,2.138,2.849,0.69,173.34925,0.40151,3,9
2017-06-03T11:58:34.50Z,44.3524724,12.1661639,3714.925,-52.82,6.11,1.43,2.133,2.846,0.69,173.40294,0.39733,3,9
2017-06-03T11:58:34.60Z,44.3524249,12.1661717,3714.788,-52.84,6.37,1.55,2.130,2.845,0.69,173.13039,0.42240,3,9
2017-06-03T11:58:34.70Z,44.3523773,12.1661794,3714.654,-52.81,6.26,1.55,2.129,2.846,0.70,173.23633,0.48324,3,9
2017-06-03T11:58:34.80Z,44.3523297,12.1661870,3714.520,-52.71,6.23,1.41,2.128,2.848,0.70,173.25914,0.52922,3,9
2017-06-03T11:58:34.90Z,44.3522821,12.1661945,3714.431,-52.84,6.19,1.24,2.127,2.850,0.70,173.31757,0.56792,3,9
2017-06-03T11:58:35.00Z,44.3522345,12.1662024,3714.315,-52.88,6.56,1.34,2.127,2.853,0.71,172.92661,0.59950,3,9
2017-06-03T11:58:35.10Z,44.3521874,12.1662109,3714.227,-52.56,6.91,1.32,2.128,2.854,0.66,172.51535,0.57857,3,9
2017-06-03T11:58:35.20Z,44.3521406,12.1662192,3713.863,-51.74,6.56,2.03,2.127,2.855,0.64,172.77430,0.51807,3,9
2017-06-03T11:58:35.30Z,44.3520932,12.1662290,3713.640,-52.00,7.67,1.69,2.123,2.851,0.62,171.61441,0.45619,3,9
2017-06-03T11:58:35.40Z,44.3520464,12.1662398,3713.625,-52.51,8.20,2.02,2.111,2.807,0.55,171.12684,0.47603,3,9
2017-06-03T11:58:35.50Z,44.3519996,12.1662505,3713.664,-52.62,8.10,2.63,2.100,2.774,0.69,171.24695,0.47966,3,9
2017-06-03T11:58:35.60Z,44.3519524,12.1662601,3713.645,-52.52,8.23,2.57,2.091,2.757,0.79,171.09820,0.54687,3,9
2017-06-03T11:58:35.70Z,44.3519059,12.1662704,3713.275,-51.86,8.57,3.48,2.079,2.742,0.80,170.61337,0.54865,3,9
2017-06-03T11:58:35.80Z,44.3518600,12.1662813,3712.904,-51.43,9.16,4.53,2.063,2.703,0.76,169.90061,0.55793,3,9
2017-06-03T11:58:35.90Z,44.3518154,12.1662932,3712.579,-50.69,9.60,5.76,2.040,2.657,0.71,169.28229,0.60631,3,9
2017-06-03T11:58:36.00Z,44.3517717,12.1663058,3712.091,-49.97,10.24,6.87,2.023,2.610,0.70,168.41491,0.83104,3,9
2017-06-03T11:58:36.10Z,44.3517286,12.1663188,3711.349,-48.51,10.37,7.78,2.007,2.565,0.70,167.93397,0.93900,3,8
2017-06-03T11:58:36.20Z,44.3516865,12.1663326,3710.476,-47.71,11.15,8.92,1.989,2.518,0.61,166.84380,0.77667,3,8
2017-06-03T11:58:36.30Z,44.3516453,12.1663471,3709.601,-46.95,11.72,10.08,1.974,2.475,0.55,165.98390,0.78377,3,8
2017-06-03T11:58:36.40Z,44.3516050,12.1663618,3708.684,-46.07,12.00,11.10,1.958,2.433,0.50,165.39482,0.70689,3,8
2017-06-03T11:58:36.50Z,44.3515648,12.1663774,3707.659,-45.56,12.74,12.22,1.941,2.391,0.46,164.37548,0.66263,3,9
2017-06-03T11:58:36.60Z,44.3515246,12.1663939,3706.187,-44.93,13.18,13.35,1.925,2.351,0.43,163.65442,0.65725,3,9
2017-06-03T11:58:36.70Z,44.3514850,12.1664108,3704.764,-44.28,13.74,14.41,1.909,2.312,0.38,162.75839,0.62456,3,9
2017-06-03T11:58:36.80Z,44.3514459,12.1664276,3703.264,-43.72,14.17,15.67,1.896,2.277,0.38,162.03726,0.59248,3,9
2017-06-03T11:58:36.90Z,44.3514071,12.1664453,3701.556,-43.04,14.51,16.93,1.883,2.243,0.37,161.37551,0.58303,3,9
2017-06-03T11:58:37.00Z,44.3513694,12.1664636,3699.892,-42.21,15.21,17.89,1.871,2.213,0.38,160.18257,0.56664,3,9
2017-06-03T11:58:37.10Z,44.3513321,12.1664830,3698.136,-41.85,15.83,18.83,1.859,2.183,0.37,159.28502,0.54364,3,9
2017-06-03T11:58:37.20Z,44.3512953,12.1665030,3696.170,-40.98,16.00,20.19,1.846,2.155,0.36,158.66674,0.49177,3,9
2017-06-03T11:58:37.30Z,44.3512591,12.1665239,3694.095,-40.09,16.63,21.00,1.834,2.137,0.40,157.46931,0.48460,3,9
2017-06-03T11:58:37.40Z,44.3512236,12.1665455,3691.933,-39.36,17.23,21.87,1.820,2.123,0.40,156.36266,0.47800,3,9
2017-06-03T11:58:37.50Z,44.3511883,12.1665684,3689.614,-38.46,17.64,22.92,1.803,2.108,0.38,155.35686,0.43451,3,9
2017-06-03T11:58:37.60Z,44.3511533,12.1665919,3687.108,-37.57,18.34,23.82,1.786,2.093,0.38,153.97500,0.42378,3,9
2017-06-03T11:58:37.70Z,44.3511192,12.1666158,3684.499,-36.74,18.72,24.92,1.768,2.077,0.36,152.99237,0.40551,3,9
2017-06-03T11:58:37.80Z,44.3510864,12.1666406,3681.797,-35.81,19.28,26.17,1.751,2.058,0.34,151.70006,0.38996,3,9
2017-06-03T11:58:37.90Z,44.3510544,12.1666658,3678.933,-35.17,19.72,27.24,1.734,2.040,0.34,150.71563,0.38411,3,9
2017-06-03T11:58:38.00Z,44.3510230,12.1666911,3675.995,-34.32,20.02,28.17,1.717,2.021,0.34,149.74860,0.38516,3,9
2017-06-03T11:58:38.10Z,44.3509924,12.1667162,3672.987,-33.56,20.35,29.31,1.699,2.004,0.34,148.76921,0.38547,3,9
2017-06-03T11:58:38.20Z,44.3509616,12.1667421,3669.769,-33.09,20.84,30.28,1.683,1.987,0.35,147.79430,0.39543,3,9
2017-06-03T11:58:38.30Z,44.3509313,12.1667689,3666.457,-32.26,21.11,31.31,1.666,1.970,0.34,146.79866,0.39349,3,9
2017-06-03T11:58:38.40Z,44.3509021,12.1667958,3663.068,-31.51,21.44,32.27,1.650,1.954,0.34,145.76881,0.38791,3,9
2017-06-03T11:58:38.50Z,44.3508739,12.1668234,3659.630,-30.90,21.81,33.24,1.634,1.940,0.36,144.77677,0.38759,3,9
