time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),,,
2015-09-26T09:53:04.80Z,45.8868985,6.9047101,3572.442,0.11,0.09,0.33,53.674,59.436,4.33,3,4
2015-09-26T09:53:05.00Z,45.8869011,6.9047087,3574.864,1.29,0.19,-0.27,30.659,35.095,1.88,3,5
2015-09-26T09:53:05.20Z,45.8869009,6.9047266,3574.767,0.81,0.13,-0.50,31.613,36.074,1.63,3,6
2015-09-26T09:53:05.40Z,45.8869379,6.9047334,3576.600,2.03,-0.12,-0.35,28.089,31.934,1.08,3,5
2015-09-26T09:53:05.80Z,45.8869482,6.9047107,3574.968,1.86,-0.38,-0.89,21.909,27.917,0.86,3,4
2015-09-26T09:53:06.00Z,45.8869514,6.9047062,3576.240,1.71,-0.17,-1.33,19.053,24.847,0.76,3,6
2015-09-26T09:53:06.20Z,45.8869558,6.9047074,3577.207,1.92,-0.18,-1.70,17.047,22.181,0.71,3,6
2015-09-26T09:53:06.40Z,45.8869465,6.9047147,3578.254,1.44,0.13,-1.74,15.211,20.065,0.63,3,7
2015-09-26T09:53:06.60Z,45.8869429,6.9047186,3578.978,1.22,0.15,-1.64,14.189,18.839,0.59,3,7
2015-09-26T09:53:06.80Z,45.8869439,6.9047190,3579.458,1.22,0.23,-1.51,13.505,18.264,0.59,3,6
2015-09-26T09:53:07.00Z,45.8869477,6.9047221,3580.386,1.44,0.54,-1.36,12.972,17.629,0.66,3,7
2015-09-26T09:53:07.20Z,45.8869501,6.9047248,3580.915,1.23,0.44,-1.24,12.459,16.999,0.64,3,7
2015-09-26T09:53:07.40Z,45.8869526,6.9047268,3581.514,1.12,0.41,-1.21,12.005,16.434,0.63,3,7
2015-09-26T09:53:07.60Z,45.8869536,6.9047236,3580.917,0.83,0.56,-1.31,11.205,14.893,0.54,3,7
2015-09-26T09:53:07.80Z,45.8869533,6.9047170,3580.549,0.19,-0.22,-1.07,10.715,14.180,0.52,3,7
2015-09-26T09:53:08.00Z,45.8869529,6.9047138,3580.061,0.29,-0.25,-0.77,10.347,13.685,0.53,3,7
