time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2016-07-09T17:08:09.00Z,62.0578530,6.9715853,1249.296,0.01,0.00,-0.04,0.566,0.603,0.19,65.12092,36.78068,3,11
2016-07-09T17:08:09.20Z,62.0578529,6.9715851,1249.342,-0.01,-0.01,-0.01,0.566,0.602,0.18,65.12092,36.78072,3,11
2016-07-09T17:08:09.40Z,62.0578528,6.9715848,1249.383,0.00,-0.03,0.01,0.567,0.602,0.14,65.12092,36.78076,3,11
2016-07-09T17:08:09.60Z,62.0578525,6.9715845,1249.423,-0.02,0.02,-0.01,0.567,0.601,0.13,65.12092,36.78079,3,11
2016-07-09T17:08:09.80Z,62.0578521,6.9715841,1249.467,-0.03,0.01,0.00,0.566,0.600,0.16,65.12092,36.78083,3,11
2016-07-09T17:08:10.00Z,62.0578519,6.9715840,1249.512,-0.01,0.01,-0.02,0.566,0.600,0.16,65.12092,36.78086,3,11
2016-07-09T17:08:10.20Z,62.0578518,6.9715840,1249.550,-0.01,0.01,-0.02,0.567,0.599,0.15,65.12092,36.78090,3,11
2016-07-09T17:08:10.40Z,62.0578516,6.9715839,1249.579,0.01,0.02,0.00,0.567,0.598,0.16,65.12092,36.78094,3,11
2016-07-09T17:08:10.60Z,62.0578515,6.9715838,1249.614,-0.01,-0.01,-0.02,0.568,0.597,0.19,65.12092,36.78099,3,11
2016-07-09T17:08:10.80Z,62.0578514,6.9715838,1249.639,0.00,0.00,-0.01,0.568,0.597,0.18,65.12092,36.78103,3,11
2016-07-09T17:08:11.00Z,62.0578510,6.9715834,1249.655,-0.02,-0.01,0.02,0.568,0.596,0.17,65.12092,36.78108,3,11
2016-07-09T17:08:11.20Z,62.0578507,6.9715831,1249.662,-0.01,-0.02,-0.02,0.567,0.596,0.18,65.12092,36.78112,3,11
2016-07-09T17:08:11.40Z,62.0578504,6.9715826,1249.679,-0.01,0.00,-0.02,0.567,0.595,0.18,65.12092,36.78116,3,11
2016-07-09T17:08:11.60Z,62.0578501,6.9715821,1249.699,0.00,-0.01,-0.02,0.567,0.594,0.19,65.12092,36.78121,3,11
2016-07-09T17:08:11.80Z,62.0578498,6.9715818,1249.710,-0.02,0.01,0.00,0.567,0.594,0.15,65.12092,36.78124,3,11
2016-07-09T17:08:12.00Z,62.0578495,6.9715814,1249.724,0.00,0.00,0.00,0.567,0.594,0.18,65.12092,36.78128,3,11
2016-07-09T17:08:12.20Z,62.0578493,6.9715813,1249.718,-0.01,0.02,0.03,0.566,0.593,0.19,65.12092,36.78133,3,11
2016-07-09T17:08:12.40Z,62.0578493,6.9715811,1249.724,-0.01,0.00,-0.02,0.566,0.592,0.18,65.12092,36.78138,3,11
