time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2018-02-24T14:43:39.00Z,28.2200180,-82.1498731,74.233,0.26,0.19,-0.24,126.790,96.959,6.68,0.00000,180.00000,3,5
2018-02-24T14:43:39.20Z,28.2199532,-82.1499063,70.292,0.45,0.12,-0.34,78.623,51.674,3.74,0.00000,141.43058,3,4
2018-02-24T14:43:39.40Z,28.2199261,-82.1499684,64.091,0.38,0.12,-0.23,77.827,55.330,3.16,0.00000,141.43258,3,5
2018-02-24T14:43:39.60Z,28.2199044,-82.1500168,58.902,0.21,-0.03,0.02,67.356,49.552,1.97,0.00000,141.43382,3,5
2018-02-24T14:43:39.80Z,28.2198561,-82.1500648,51.961,0.09,-0.02,0.03,60.341,45.035,1.63,0.00000,141.43486,3,5
2018-02-24T14:43:40.00Z,28.2198026,-82.1501053,45.509,-0.09,-0.11,0.03,54.934,41.413,1.75,0.00000,141.43598,3,5
2018-02-24T14:43:40.20Z,28.2197432,-82.1501413,39.028,-0.14,-0.10,0.07,50.856,38.700,1.90,0.00000,141.43718,3,5
2018-02-24T14:43:40.40Z,28.2196992,-82.1501705,34.323,-0.34,-0.05,0.15,47.489,36.398,1.92,0.00000,141.43842,3,5
2018-02-24T14:43:40.60Z,28.2196588,-82.1502025,29.652,-0.26,-0.16,0.23,44.662,34.429,1.75,0.00000,141.43952,3,5
2018-02-24T14:43:40.80Z,28.2196217,-82.1502456,24.279,-0.25,-0.17,0.32,42.099,32.561,1.63,0.00000,141.44056,3,5
2018-02-24T14:43:41.00Z,28.2195955,-82.1502779,19.861,-0.42,-0.21,0.44,39.898,30.943,1.62,0.00000,141.44160,3,5
2018-02-24T14:43:41.20Z,28.2195789,-82.1503002,17.159,-0.53,-0.24,0.49,38.063,29.563,1.61,0.00000,141.44262,3,5
2018-02-24T14:43:41.40Z,28.2195665,-82.1503234,13.933,-0.62,-0.23,0.44,36.451,28.344,1.62,0.00000,141.44366,3,5
2018-02-24T14:43:41.60Z,28.2195475,-82.1503493,10.203,-0.63,-0.30,0.49,35.021,27.262,1.55,0.00000,141.44464,3,5
2018-02-24T14:43:41.80Z,28.2195266,-82.1503684,7.096,-0.69,-0.29,0.49,33.818,26.296,1.56,0.00000,141.44564,3,5
