time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2021-10-28T22:22:34.00Z,32.6648027,-111.7561056,482.537,-8.76,-53.79,0.71,30.807,58.78,1.05,260.74993,0.99674,3,10
2021-10-28T22:22:34.20Z,32.6647935,-111.7562226,481.289,-8.43,-53.63,0.79,30.832,58.815,1.07,261.06523,1.03405,3,10
2021-10-28T22:22:34.40Z,32.6647827,-111.7563416,479.468,-8.74,-54.08,1.06,30.74,58.651,1.08,260.82368,1.01841,3,10
2021-10-28T22:22:34.60Z,32.6647709,-111.756462,477.509,-9.16,-54.36,1.52,31.007,59.141,1.14,260.43129,1.04681,3,9
2021-10-28T22:22:34.80Z,32.6647572,-111.7565808,476.401,-9.53,-54.14,1.62,31.322,59.697,1.18,260.01379,1.08388,3,9
2021-10-28T22:22:35.00Z,32.6647444,-111.7567011,474.751,-9.17,-54.13,1.87,31.43,59.868,1.19,260.38513,1.06812,3,9
2021-10-28T22:22:35.20Z,32.6647319,-111.7568236,473.371,-9.2,-54.82,1.95,31.576,60.109,1.22,260.47331,1.08247,3,9
2021-10-28T22:22:35.40Z,32.6647198,-111.7569442,471.837,-9.24,-55.08,2.03,31.723,60.355,1.21,260.47356,1.08612,3,9
2021-10-28T22:22:35.60Z,32.6647098,-111.7570647,470.127,-8.68,-55.52,2.23,31.924,60.712,1.25,261.11165,1.08999,3,9
2021-10-28T22:22:35.80Z,32.6647009,-111.757178,467.875,-8.22,-54.82,2.36,31.679,60.283,1.2,261.47214,1.08626,3,10
2021-10-28T22:22:36.00Z,32.6646908,-111.757291,466.273,-8.45,-54.21,2.32,31.554,60.063,1.15,261.14213,1.08437,3,10
2021-10-28T22:22:36.20Z,32.6646793,-111.7574043,464.464,-8.81,-54.28,2.44,31.459,59.856,1.17,260.77605,1.11754,3,10
2021-10-28T22:22:36.40Z,32.6646678,-111.7575169,462.164,-9.11,-53.85,2.59,31.397,59.739,1.16,260.39735,1.08994,3,10
2021-10-28T22:22:36.60Z,32.6646575,-111.7576296,459.139,-9.31,-53.74,2.85,31.419,59.794,1.13,260.17531,1.06599,3,10
2021-10-28T22:22:36.80Z,32.6646506,-111.7577457,455.28,-9.24,-54.18,3.27,31.673,60.283,1.12,260.323,1.04864,3,10
2021-10-28T22:22:37.00Z,32.6646589,-111.7578739,447.787,-9.8,-53.85,3.48,33.105,62.992,1.07,259.68824,0.97453,3,10
2021-10-28T22:22:37.20Z,32.6646751,-111.7580097,438.216,-8.61,-55.07,4.18,34.399,65.487,1.09,261.11103,0.97557,3,10
2021-10-28T22:22:37.40Z,32.6646843,-111.7581419,430.765,-7.61,-56.1,4.74,34.972,66.615,1.06,262.27129,0.95568,3,10
2021-10-28T22:22:37.60Z,32.6646676,-111.7582603,429.391,-9.33,-55.13,4.61,34.293,65.415,1.08,260.39225,1.05149,3,10
2021-10-28T22:22:37.80Z,32.6646498,-111.7583788,428.428,-10.26,-54.68,4.44,33.742,64.461,1.07,259.37146,1.04521,3,10
2021-10-28T22:22:38.00Z,32.6646327,-111.758496,427.037,-10.72,-54.15,4.32,33.396,63.917,1.11,258.80173,1.09077,3,10
2021-10-28T22:22:38.20Z,32.6646174,-111.7586127,424.187,-10.97,-54.15,4.53,33.256,63.76,1.06,258.54309,1.0238,3,10
2021-10-28T22:22:38.40Z,32.6646019,-111.758728,421.361,-10.82,-54.09,4.78,33.219,63.814,1.04,258.68889,0.99648,3,10
2021-10-28T22:22:38.60Z,32.6645862,-111.7588417,419.091,-10.74,-53.57,4.82,33.134,63.754,1.05,258.65825,0.99528,3,10
2021-10-28T22:22:38.80Z,32.6645652,-111.758954,418.656,-12,-52.36,4.22,33.047,63.675,1.08,257.0941,1.0159,3,10
2021-10-28T22:22:39.00Z,32.6645474,-111.7590677,416.918,-11.92,-52.52,4.16,32.972,63.606,1.09,257.20733,1.01718,3,10
2021-10-28T22:22:39.20Z,32.6645274,-111.7591827,416.343,-12.06,-52.4,3.84,33.157,64.025,1.08,257.03676,0.97991,3,10
2021-10-28T22:22:39.40Z,32.6645051,-111.7592953,415.347,-12.86,-52.25,3.64,33.322,64.413,1.12,256.17786,0.96597,3,10
2021-10-28T22:22:39.60Z,32.6644806,-111.7594061,414.596,-13.12,-52,3.39,33.221,64.306,1.12,255.83618,0.95175,3,10
2021-10-28T22:22:39.80Z,32.6644569,-111.75952,413.379,-13.28,-52.71,3.34,33.236,64.379,1.18,255.85311,0.92896,3,10
2021-10-28T22:22:40.00Z,32.6644264,-111.7596342,413.897,-14.35,-52.83,2.85,33.105,64.198,1.15,254.8033,0.92266,3,10
2021-10-28T22:22:40.20Z,32.6643985,-111.7597466,412.912,-14.53,-52.83,2.82,33.175,64.414,1.14,254.61913,0.88547,3,10
2021-10-28T22:22:40.40Z,32.6643722,-111.7598595,411.746,-14.01,-53.19,3.05,33.211,64.542,1.13,255.24591,0.86937,3,10
2021-10-28T22:22:40.60Z,32.6643475,-111.7599761,410.055,-13.75,-53.86,3.33,33.367,64.89,1.11,255.68021,0.84799,3,10
2021-10-28T22:22:40.80Z,32.6643193,-111.7600908,409.628,-13.9,-53.58,3.28,33.341,64.885,1.1,255.45707,0.86251,3,10
2021-10-28T22:22:41.00Z,32.6642822,-111.7602025,411.148,-15.11,-53.29,2.93,33.007,64.271,1.08,254.16874,0.85399,3,10
2021-10-28T22:22:41.20Z,32.6642547,-111.7603211,409.382,-14.82,-54.26,3.29,33.392,65.043,1.08,254.72364,0.83888,3,9
2021-10-28T22:22:41.40Z,32.6642277,-111.7604383,410.204,-14.34,-54.66,3.4,33.752,65.713,1.18,255.29558,0.95287,3,10
2021-10-28T22:22:41.60Z,32.6641955,-111.7605518,412.911,-14.87,-54.09,3,33.93,66.014,1.16,254.62788,0.94859,3,10
2021-10-28T22:22:41.80Z,32.6641631,-111.760661,415.2,-16.16,-52.37,2.4,34.201,66.468,1.15,252.85105,1.03207,3,10
2021-10-28T22:22:42.00Z,32.6641304,-111.7607712,417.903,-16.69,-51.52,1.91,34.374,66.725,1.08,252.04925,0.98424,3,10
2021-10-28T22:22:42.20Z,32.664097,-111.760881,420.649,-16.72,-51.22,1.6,34.414,66.721,1.07,251.91744,0.99791,3,10
2021-10-28T22:22:42.40Z,32.6640623,-111.7609903,424.108,-16.89,-50.61,1.16,34.427,66.61,1.03,251.54872,0.98756,3,10
2021-10-28T22:22:42.60Z,32.6640308,-111.7611036,426.899,-16.73,-51.57,1.05,34.554,66.745,1.06,252.02188,1.00488,3,10
2021-10-28T22:22:42.80Z,32.6639992,-111.7612182,429.145,-17,-52.04,0.85,34.593,66.706,1.08,251.91015,1.02106,3,10
2021-10-28T22:22:43.00Z,32.6639679,-111.7613342,431.264,-17.53,-52.42,0.84,34.471,66.362,1.09,251.50666,1.027,3,10
2021-10-28T22:22:43.20Z,32.6639335,-111.7614438,433.523,-18.55,-51.27,0.61,33.969,65.292,1.06,250.11116,1.05633,3,11
2021-10-28T22:22:43.40Z,32.6638944,-111.7615507,437.091,-18.83,-50.88,0.2,33.416,64.163,1.05,249.68757,1.06739,3,11
