time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),,,
2015-09-19T11:01:41.20Z,45.0704422,5.4143421,1172.417,0.93,0.97,-1.43,12.612,15.540,1.45,3,5
2015-09-19T11:01:41.60Z,45.0704303,5.4143488,1173.217,-0.24,0.31,-1.34,11.193,13.899,1.41,3,5
2015-09-19T11:01:41.80Z,45.0704270,5.4143399,1172.738,-0.40,-0.18,-1.01,10.789,13.044,1.03,3,5
2015-09-19T11:01:42.00Z,45.0704222,5.4143394,1172.523,-0.25,-0.03,-0.81,10.081,12.304,1.08,3,5
2015-09-19T11:01:42.20Z,45.0704177,5.4143430,1172.760,-0.20,0.29,-0.74,9.466,11.641,1.28,3,5
2015-09-19T11:01:42.40Z,45.0704153,5.4143415,1172.683,-0.04,0.34,-0.70,8.932,11.074,1.24,3,5
2015-09-19T11:01:42.60Z,45.0704143,5.4143373,1172.299,0.13,0.42,-0.61,8.528,10.721,1.20,3,5
2015-09-19T11:01:42.80Z,45.0704105,5.4143375,1172.004,-0.19,0.39,-0.60,8.147,10.396,1.27,3,5
2015-09-19T11:01:43.00Z,45.0704080,5.4143354,1171.668,-0.11,0.29,-0.57,7.835,10.131,1.24,3,5
2015-09-19T11:01:43.20Z,45.0704049,5.4143371,1171.643,-0.07,0.34,-0.54,7.612,9.909,1.29,3,5
2015-09-19T11:01:43.40Z,45.0704022,5.4143343,1171.327,-0.06,0.33,-0.51,7.418,9.731,1.31,3,5
2015-09-19T11:01:43.60Z,45.0704007,5.4143338,1171.440,-0.13,0.52,-0.49,7.258,9.604,1.39,3,5
2015-09-19T11:01:43.80Z,45.0704027,5.4143296,1171.243,0.06,0.47,-0.48,7.164,9.425,1.34,3,5
2015-09-19T11:01:44.00Z,45.0704036,5.4143293,1171.263,-0.09,0.31,-0.44,7.123,9.265,1.33,3,5
2015-09-19T11:01:44.20Z,45.0704041,5.4143293,1171.532,-0.08,0.35,-0.46,7.073,9.125,1.33,3,5
2015-09-19T11:01:44.40Z,45.0704019,5.4143241,1171.085,-0.26,0.20,-0.43,6.913,8.831,1.19,3,5
2015-09-19T11:01:44.60Z,45.0703997,5.4143132,1169.845,-0.28,-0.07,-0.30,6.732,8.606,0.87,3,5
2015-09-19T11:01:44.80Z,45.0704002,5.4143087,1169.829,0.03,-0.28,-0.22,6.563,8.357,0.82,3,5
2015-09-19T11:01:45.00Z,45.0703998,5.4143054,1169.669,0.04,-0.32,-0.15,6.459,8.194,0.94,3,5
2015-09-19T11:01:45.20Z,45.0704009,5.4143082,1170.014,0.33,0.16,-0.19,6.397,8.094,0.97,3,5
2015-09-19T11:01:45.40Z,45.0704003,5.4143145,1170.335,0.15,0.60,-0.12,6.355,8.088,1.16,3,5
2015-09-19T11:01:45.60Z,45.0703995,5.4143211,1170.819,0.10,0.77,-0.17,6.300,8.016,1.09,3,5
2015-09-19T11:01:45.80Z,45.0703967,5.4143245,1170.822,-0.52,0.52,-0.16,6.208,7.886,1.23,3,5
2015-09-19T11:01:46.00Z,45.0703951,5.4143265,1170.785,-0.57,0.28,-0.08,6.156,7.737,1.21,3,5
2015-09-19T11:01:46.20Z,45.0703960,5.4143271,1170.509,-0.22,-0.08,0.01,6.071,7.584,0.99,3,5
2015-09-19T11:01:46.40Z,45.0703961,5.4143268,1170.371,-0.07,-0.34,0.05,6.057,7.536,1.01,3,5
2015-09-19T11:01:46.60Z,45.0703967,5.4143256,1170.456,0.22,-0.25,0.11,6.059,7.536,1.20,3,5
2015-09-19T11:01:46.80Z,45.0703958,5.4143264,1170.603,0.21,-0.38,0.12,6.018,7.491,1.17,3,5
2015-09-19T11:01:47.00Z,45.0703956,5.4143297,1171.206,0.14,-0.15,0.07,5.929,7.361,1.24,3,5
2015-09-19T11:01:47.20Z,45.0703963,5.4143300,1171.323,0.20,-0.07,0.06,5.841,7.229,1.25,3,5
