time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2015-07-02T11:46:41.00Z,62.0578388,6.9715826,1226.365,-0.31,-0.61,1.63,47.162,66.700,4.35,0.00000,180.00000,3,5
2015-07-02T11:46:41.20Z,62.0578414,6.9715752,1225.769,-0.79,0.84,2.25,34.780,35.976,2.21,0.00000,70.18968,3,5
2015-07-02T11:46:41.40Z,62.0578082,6.9715780,1231.424,-0.76,1.70,2.03,27.863,34.136,1.17,95.64956,30.82406,3,7
2015-07-02T11:46:41.60Z,62.0578351,6.9716120,1236.325,-0.05,0.97,1.06,21.152,26.966,0.69,93.78275,17.84815,3,7
2015-07-02T11:46:41.80Z,62.0578364,6.9716663,1233.570,0.25,0.07,0.88,16.476,23.077,0.61,93.78275,17.84861,3,7
2015-07-02T11:46:42.00Z,62.0578402,6.9716901,1232.775,-0.09,0.18,0.47,13.352,20.399,0.51,93.78275,17.84887,3,7
2015-07-02T11:46:42.20Z,62.0578428,6.9716766,1230.616,0.08,-0.03,0.30,10.415,17.827,0.43,93.78275,17.84909,3,7
2015-07-02T11:46:42.40Z,62.0578377,6.9716886,1226.745,0.05,-0.22,0.32,8.418,14.395,0.34,93.78275,17.84929,3,7
2015-07-02T11:46:42.60Z,62.0578468,6.9716977,1229.363,-0.03,0.02,0.30,7.020,12.049,0.37,93.78275,17.84947,3,7
2015-07-02T11:46:42.80Z,62.0578499,6.9717004,1228.290,0.03,0.03,0.28,6.022,10.417,0.34,93.78275,17.84964,3,7
2015-07-02T11:46:43.00Z,62.0578470,6.9716913,1228.998,-0.07,-0.01,0.34,5.293,9.303,0.34,93.78275,17.84982,3,7
2015-07-02T11:46:43.20Z,62.0578462,6.9716971,1230.882,-0.02,-0.01,0.34,4.746,8.449,0.34,93.78275,17.84998,3,7
2015-07-02T11:46:43.40Z,62.0578481,6.9716893,1230.622,0.00,0.00,0.30,4.321,7.763,0.33,93.78275,17.85015,3,7
2015-07-02T11:46:43.60Z,62.0578471,6.9716856,1230.230,-0.03,0.02,0.31,3.986,7.314,0.33,93.78275,17.85032,3,7
2015-07-02T11:46:43.80Z,62.0578482,6.9716838,1229.595,-0.02,-0.01,0.28,3.713,6.931,0.34,93.78275,17.85049,3,7
2015-07-02T11:46:44.00Z,62.0578490,6.9716866,1229.819,0.00,0.01,0.26,3.485,6.517,0.34,93.78275,17.85066,3,7
2015-07-02T11:46:44.20Z,62.0578481,6.9716875,1229.047,-0.02,0.00,0.27,3.302,6.177,0.35,93.78275,17.85084,3,7
2015-07-02T11:46:44.40Z,62.0578484,6.9716886,1229.144,-0.04,-0.02,0.27,3.145,5.883,0.36,93.78275,17.85102,3,7
2015-07-02T11:46:44.60Z,62.0578493,6.9716857,1228.635,0.00,0.01,0.22,3.004,5.622,0.36,93.78275,17.85120,3,7
2015-07-02T11:46:44.80Z,62.0578488,6.9716852,1228.205,-0.01,-0.02,0.21,2.880,5.395,0.36,93.78275,17.85138,3,7
2015-07-02T11:46:45.00Z,62.0578499,6.9716847,1228.630,-0.02,-0.01,0.17,2.774,5.196,0.36,93.78275,17.85157,3,7
2015-07-02T11:46:45.20Z,62.0578500,6.9716839,1228.693,-0.02,0.02,0.18,2.679,5.018,0.36,93.78275,17.85175,3,7
2015-07-02T11:46:45.40Z,62.0578504,6.9716839,1229.127,0.00,0.00,0.17,2.591,4.856,0.36,93.78275,17.85193,3,7
2015-07-02T11:46:45.60Z,62.0578503,6.9716851,1228.938,0.00,-0.01,0.17,2.512,4.709,0.36,93.78275,17.85211,3,7
2015-07-02T11:46:45.80Z,62.0578506,6.9716858,1229.088,-0.01,0.01,0.15,2.439,4.575,0.36,93.78275,17.85229,3,7
2015-07-02T11:46:46.00Z,62.0578507,6.9716865,1228.757,-0.03,0.00,0.16,2.372,4.452,0.36,93.78275,17.85248,3,7
2015-07-02T11:46:46.20Z,62.0578509,6.9716870,1228.608,0.01,0.00,0.15,2.312,4.340,0.36,93.78275,17.85266,3,7
2015-07-02T11:46:46.40Z,62.0578512,6.9716873,1228.627,0.01,-0.01,0.14,2.257,4.238,0.36,93.78275,17.85284,3,7
2015-07-02T11:46:46.60Z,62.0578513,6.9716876,1228.694,0.00,0.00,0.13,2.206,4.142,0.36,93.78275,17.85302,3,7
2015-07-02T11:46:46.80Z,62.0578515,6.9716877,1228.658,-0.01,0.00,0.14,2.156,4.051,0.36,93.78275,17.85321,3,7
2015-07-02T11:46:47.00Z,62.0578514,6.9716878,1228.436,-0.01,-0.02,0.13,2.107,3.962,0.36,93.78275,17.85338,3,7
2015-07-02T11:46:47.20Z,62.0578511,6.9716877,1228.307,0.01,-0.01,0.14,2.062,3.879,0.35,93.78275,17.85356,3,7
2015-07-02T11:46:47.40Z,62.0578508,6.9716877,1228.273,-0.04,0.01,0.10,2.019,3.800,0.35,93.78275,17.85374,3,7
2015-07-02T11:46:47.60Z,62.0578506,6.9716879,1228.186,0.00,0.01,0.11,1.979,3.727,0.36,93.78275,17.85392,3,7
2015-07-02T11:46:47.80Z,62.0578504,6.9716878,1228.169,-0.03,-0.02,0.10,1.942,3.675,0.36,93.78275,17.85410,3,7
2015-07-02T11:46:48.00Z,62.0578504,6.9716877,1228.169,-0.02,0.01,0.08,1.908,3.625,0.36,93.78275,17.85428,3,7
2015-07-02T11:46:48.20Z,62.0578503,6.9716873,1228.204,0.03,-0.02,0.09,1.877,3.594,0.34,93.78275,17.85446,3,7
