time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),,,
2015-07-02T11:54:27.20Z,62.0574369,6.9716426,1304.864,0.18,-0.39,-0.35,42.606,62.243,4.57,3,4
2015-07-02T11:54:27.40Z,62.0574819,6.9716525,1295.061,0.30,-0.11,-0.04,42.625,49.745,2.23,3,4
2015-07-02T11:54:27.60Z,62.0574833,6.9716864,1278.734,0.28,-0.11,0.09,28.253,34.573,1.03,3,5
2015-07-02T11:54:27.80Z,62.0575339,6.9716905,1277.293,0.13,-0.06,0.36,22.072,29.588,1.06,3,6
2015-07-02T11:54:28.00Z,62.0575710,6.9716824,1275.088,0.15,-0.07,0.30,17.545,25.235,0.93,3,6
2015-07-02T11:54:28.20Z,62.0576089,6.9716879,1277.850,0.14,-0.05,0.28,14.540,21.833,0.69,3,6
2015-07-02T11:54:28.40Z,62.0576535,6.9717041,1275.469,0.11,-0.03,0.25,12.567,19.467,0.55,3,6
2015-07-02T11:54:28.60Z,62.0576958,6.9717195,1270.728,0.09,0.00,0.23,10.971,17.417,0.48,3,6
2015-07-02T11:54:28.80Z,62.0577302,6.9717299,1266.280,0.16,-0.07,0.21,9.817,15.827,0.42,3,6
2015-07-02T11:54:29.00Z,62.0577425,6.9717309,1262.797,-0.10,0.57,0.11,9.089,14.556,0.29,3,7
2015-07-02T11:54:29.20Z,62.0577859,6.9717300,1252.973,0.51,0.29,0.25,8.339,13.359,0.35,3,7
2015-07-02T11:54:29.40Z,62.0578111,6.9717345,1245.035,0.26,0.19,0.36,7.704,12.174,0.34,3,8
2015-07-02T11:54:29.60Z,62.0578123,6.9717382,1243.434,0.01,0.13,0.29,6.875,11.337,0.40,3,8
2015-07-02T11:54:29.80Z,62.0578329,6.9717504,1240.065,0.26,-0.05,0.25,6.073,9.360,0.37,3,8
2015-07-02T11:54:30.00Z,62.0578476,6.9717589,1236.709,0.33,-0.12,0.29,5.494,8.010,0.39,3,8
2015-07-02T11:54:30.20Z,62.0578515,6.9717635,1234.461,0.02,-0.13,0.24,5.080,7.071,0.31,3,8
2015-07-02T11:54:30.40Z,62.0578572,6.9717695,1233.574,-0.02,-0.02,0.26,4.629,6.305,0.28,3,8
2015-07-02T11:54:30.60Z,62.0578642,6.9717739,1230.989,0.09,-0.01,0.07,4.257,5.699,0.35,3,6
2015-07-02T11:54:30.80Z,62.0578643,6.9717761,1229.928,0.01,0.05,0.07,3.948,5.248,0.27,3,6
2015-07-02T11:54:31.00Z,62.0578692,6.9717842,1229.520,0.06,-0.21,0.09,3.652,4.940,0.22,3,6
2015-07-02T11:54:31.20Z,62.0578765,6.9717848,1229.154,-0.01,-0.24,-0.02,3.559,4.753,0.21,3,7
2015-07-02T11:54:31.40Z,62.0578769,6.9717900,1228.914,-0.11,0.21,-0.11,3.422,4.695,0.19,3,8
2015-07-02T11:54:31.60Z,62.0578708,6.9717954,1229.421,0.20,-0.04,-0.04,3.325,4.703,0.15,3,7
2015-07-02T11:54:31.80Z,62.0578635,6.9718014,1229.240,0.02,0.22,0.00,3.154,4.599,0.15,3,7
2015-07-02T11:54:32.00Z,62.0578595,6.9718091,1229.434,0.04,0.05,-0.11,3.048,4.579,0.21,3,7
2015-07-02T11:54:32.20Z,62.0578558,6.9718146,1229.616,0.06,0.03,0.00,2.999,4.623,0.14,3,7
2015-07-02T11:54:32.40Z,62.0578517,6.9718200,1229.449,-0.12,-0.04,0.06,2.938,4.636,0.13,3,7
2015-07-02T11:54:32.60Z,62.0578483,6.9718180,1229.794,0.03,0.00,0.10,2.800,4.503,0.23,3,8
2015-07-02T11:54:32.80Z,62.0578458,6.9718108,1230.510,-0.01,0.12,0.14,2.688,4.369,0.22,3,8
2015-07-02T11:54:33.00Z,62.0578428,6.9718081,1230.578,-0.04,0.06,0.12,2.565,4.197,0.24,3,8
2015-07-02T11:54:33.20Z,62.0578439,6.9717992,1231.214,-0.04,0.01,0.13,2.512,4.115,0.26,3,8
2015-07-02T11:54:33.40Z,62.0578436,6.9717905,1232.334,-0.05,0.00,0.12,2.561,4.199,0.26,3,8
2015-07-02T11:54:33.60Z,62.0578430,6.9717848,1233.070,-0.03,0.06,0.11,2.573,4.210,0.27,3,8
2015-07-02T11:54:33.80Z,62.0578438,6.9717777,1233.479,-0.03,0.01,0.06,2.530,4.133,0.27,3,8
2015-07-02T11:54:34.00Z,62.0578431,6.9717723,1233.943,-0.14,-0.06,-0.22,2.467,4.021,0.21,3,8
2015-07-02T11:54:34.20Z,62.0578418,6.9717743,1233.825,-0.23,0.08,-0.60,2.350,3.852,0.24,3,8
2015-07-02T11:54:34.40Z,62.0578414,6.9717795,1233.305,-0.04,0.31,-0.54,2.243,3.723,0.24,3,8
2015-07-02T11:54:34.60Z,62.0578422,6.9717796,1233.171,0.22,0.19,-0.56,2.155,3.609,0.27,3,8
2015-07-02T11:54:34.80Z,62.0578424,6.9717781,1232.930,0.19,-0.05,-0.47,2.117,3.569,0.34,3,7
2015-07-02T11:54:35.00Z,62.0578439,6.9717792,1232.709,0.15,-0.15,-0.28,2.061,3.458,0.33,3,8
