time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2015-07-02T12:06:56.40Z,62.0578324,6.9716667,1230.041,-0.05,-0.10,0.35,45.427,58.689,4.90,0.00000,180.00000,3,6
2015-07-02T12:06:56.60Z,62.0578144,6.9716713,1233.707,-0.31,0.05,0.50,29.890,34.567,2.99,0.00000,180.00000,3,8
2015-07-02T12:06:56.80Z,62.0578340,6.9716823,1235.719,-0.56,0.23,0.86,20.380,26.899,2.23,0.00000,97.85104,3,8
2015-07-02T12:06:57.00Z,62.0578460,6.9716780,1237.115,-0.62,-0.04,0.92,16.502,22.112,1.84,0.00000,97.85114,3,7
2015-07-02T12:06:57.20Z,62.0578532,6.9716657,1239.103,-0.78,-0.12,1.25,13.709,18.272,1.53,0.00000,97.85128,3,7
2015-07-02T12:06:57.40Z,62.0578549,6.9716905,1240.269,-0.92,-0.07,1.52,11.694,15.599,1.31,0.00000,97.85144,3,8
2015-07-02T12:06:57.60Z,62.0578544,6.9716946,1240.276,-1.01,0.05,1.77,10.352,13.787,1.16,147.73205,39.88846,3,8
2015-07-02T12:06:57.80Z,62.0578545,6.9716918,1239.850,-1.17,0.17,2.00,9.466,12.503,1.05,159.95885,27.98083,3,8
2015-07-02T12:06:58.00Z,62.0578532,6.9716991,1240.603,-1.49,0.15,2.14,8.440,11.435,0.97,166.83501,20.10751,3,8
2015-07-02T12:06:58.20Z,62.0578513,6.9717025,1240.455,-1.38,0.28,2.21,7.827,10.487,1.02,167.21937,17.74230,3,7
2015-07-02T12:06:58.40Z,62.0578485,6.9717054,1240.084,-1.36,0.35,2.37,7.268,9.632,1.03,166.95097,16.18182,3,8
2015-07-02T12:06:58.60Z,62.0578482,6.9717043,1239.643,-1.47,0.32,2.47,7.029,9.334,1.10,167.04661,15.12248,3,7
2015-07-02T12:06:58.80Z,62.0578455,6.9717042,1239.311,-1.72,0.57,2.61,6.781,9.046,1.11,166.13831,13.81075,3,8
2015-07-02T12:06:59.00Z,62.0578430,6.9717044,1238.992,-1.58,0.54,2.65,6.677,8.859,1.16,165.66270,13.11996,3,7
2015-07-02T12:06:59.20Z,62.0578432,6.9717060,1238.972,-1.46,0.60,2.69,6.541,8.628,1.18,165.03290,12.59697,3,8
2015-07-02T12:06:59.40Z,62.0578436,6.9717084,1238.912,-1.40,0.67,2.77,6.379,8.395,1.19,164.24720,12.12727,3,8
2015-07-02T12:06:59.60Z,62.0578451,6.9717113,1238.997,-1.35,0.73,2.84,6.239,8.196,1.20,163.38068,11.71160,3,8
2015-07-02T12:06:59.80Z,62.0578468,6.9717148,1239.064,-1.30,0.78,2.91,6.115,8.023,1.20,163.38068,11.71412,3,8
2015-07-02T12:07:00.00Z,62.0578476,6.9717184,1238.959,-1.38,0.94,3.09,5.987,7.851,1.20,161.96372,11.23280,3,8
2015-07-02T12:07:00.20Z,62.0578508,6.9717256,1238.725,-1.77,1.55,3.49,5.644,7.549,1.11,158.35317,10.32126,3,8
2015-07-02T12:07:00.40Z,62.0578591,6.9717297,1239.051,-1.95,1.74,3.68,5.271,7.297,1.04,154.90517,9.39388,3,8
2015-07-02T12:07:00.60Z,62.0578657,6.9717331,1239.212,-1.99,1.85,3.83,5.051,7.140,1.04,152.25523,8.66751,3,8
2015-07-02T12:07:00.80Z,62.0578660,6.9717372,1238.783,-1.98,1.88,3.97,4.860,7.001,1.04,150.20544,8.09003,3,8
2015-07-02T12:07:01.00Z,62.0578637,6.9717411,1238.164,-1.95,1.87,4.09,4.695,6.890,1.03,148.64957,7.63023,3,8
2015-07-02T12:07:01.20Z,62.0578651,6.9717445,1237.839,-1.93,1.88,4.22,4.504,6.777,1.02,147.31508,7.22680,3,8
2015-07-02T12:07:01.40Z,62.0578615,6.9717462,1237.241,-1.87,1.69,4.26,4.486,6.724,1.05,146.63644,6.96797,3,8
2015-07-02T12:07:01.60Z,62.0578582,6.9717481,1236.619,-1.82,1.52,4.29,4.497,6.691,1.10,146.28032,6.77987,3,8
