time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2017-06-03T11:31:51.70Z,44.3610450,12.2155888,-8.307,0.20,0.01,0.42,32.838,39.641,1.85,0.00000,180.00000,3,6
2017-06-03T11:31:51.80Z,44.3610279,12.2156374,-7.717,0.30,-0.21,0.48,23.098,20.247,1.05,0.00000,142.68898,3,6
2017-06-03T11:31:52.20Z,44.3610354,12.2156535,-6.722,0.07,0.04,0.29,13.838,15.694,0.68,0.00000,142.69008,3,6
2017-06-03T11:31:52.30Z,44.3610357,12.2156536,-7.744,-0.14,-0.09,0.12,11.980,13.928,0.64,0.00000,142.69030,3,7
2017-06-03T11:31:52.40Z,44.3610359,12.2156490,-8.625,0.01,0.01,0.18,10.558,12.674,0.63,0.00000,142.69048,3,7
2017-06-03T11:31:52.50Z,44.3610410,12.2156388,-8.908,0.04,-0.10,0.18,9.533,11.760,0.61,0.00000,142.69068,3,7
2017-06-03T11:31:52.60Z,44.3610487,12.2156340,-8.399,0.17,-0.14,0.07,8.684,10.966,0.61,0.00000,142.69086,3,7
2017-06-03T11:31:52.70Z,44.3610575,12.2156312,-7.467,0.00,-0.14,0.16,7.924,10.139,0.48,0.00000,142.69102,3,7
2017-06-03T11:31:52.80Z,44.3610641,12.2156240,-7.693,-0.04,-0.07,0.35,7.317,9.461,0.51,0.00000,142.69118,3,7
2017-06-03T11:31:52.90Z,44.3610700,12.2156200,-7.142,-0.05,-0.02,0.19,6.801,8.883,0.51,0.00000,142.69134,3,7
2017-06-03T11:31:53.00Z,44.3610735,12.2156152,-6.895,0.04,-0.08,0.14,6.371,8.392,0.41,0.00000,142.69148,3,7
2017-06-03T11:31:53.10Z,44.3610756,12.2156114,-6.739,-0.07,0.01,0.27,6.001,7.969,0.51,0.00000,142.69164,3,7
2017-06-03T11:31:53.20Z,44.3610783,12.2156056,-6.877,-0.02,0.01,0.27,5.679,7.600,0.47,0.00000,142.69180,3,7
2017-06-03T11:31:53.30Z,44.3610821,12.2155995,-7.126,-0.01,0.01,0.34,5.397,7.275,0.45,0.00000,142.69194,3,7
2017-06-03T11:31:53.40Z,44.3610857,12.2155936,-7.462,-0.09,-0.01,0.43,5.154,6.996,0.46,0.00000,142.69206,3,7
2017-06-03T11:31:53.50Z,44.3610887,12.2155889,-7.645,-0.05,0.04,0.36,4.937,6.748,0.46,0.00000,142.69220,3,7
2017-06-03T11:31:53.60Z,44.3610930,12.2155845,-7.605,-0.11,0.01,0.38,4.753,6.530,0.47,0.00000,142.69236,3,7
2017-06-03T11:31:53.70Z,44.3610962,12.2155800,-7.694,-0.20,0.04,0.40,4.587,6.334,0.50,0.00000,142.69252,3,7
2017-06-03T11:31:53.80Z,44.3611009,12.2155742,-7.822,-0.18,0.13,0.25,4.427,6.143,0.53,131.91543,42.70107,3,7
2017-06-03T11:31:53.90Z,44.3611049,12.2155666,-8.250,-0.11,-0.01,0.22,4.286,5.971,0.46,131.91543,42.70155,3,7
2017-06-03T11:31:54.00Z,44.3611090,12.2155637,-8.132,-0.15,0.03,0.38,4.182,5.834,0.48,131.91543,42.70206,3,7
2017-06-03T11:31:54.10Z,44.3611137,12.2155599,-8.101,-0.05,0.01,0.31,4.085,5.706,0.43,131.91543,42.70252,3,7
2017-06-03T11:31:54.20Z,44.3611170,12.2155567,-7.998,-0.03,0.00,0.28,3.994,5.587,0.42,131.91543,42.70296,3,7
2017-06-03T11:31:54.30Z,44.3611198,12.2155550,-7.859,-0.05,-0.03,0.49,3.894,5.447,0.40,131.91543,42.70348,3,7
2017-06-03T11:31:54.40Z,44.3611211,12.2155547,-8.025,-0.15,0.10,0.44,3.801,5.317,0.48,131.91543,42.70398,3,7
2017-06-03T11:31:54.50Z,44.3611226,12.2155532,-7.972,-0.15,0.07,0.46,3.716,5.200,0.47,131.91543,42.70450,3,7
2017-06-03T11:31:54.60Z,44.3611248,12.2155523,-7.797,0.02,0.01,0.42,3.641,5.094,0.40,131.91543,42.70494,3,7
2017-06-03T11:31:54.70Z,44.3611263,12.2155518,-7.705,-0.15,0.04,0.42,3.570,4.994,0.47,131.91543,42.70545,3,7
2017-06-03T11:31:54.80Z,44.3611273,12.2155513,-7.577,-0.06,0.03,0.36,3.503,4.900,0.44,131.91543,42.70591,3,7
2017-06-03T11:31:54.90Z,44.3611280,12.2155508,-7.453,0.09,0.01,0.35,3.447,4.821,0.38,131.91543,42.70632,3,7
2017-06-03T11:31:55.00Z,44.3611293,12.2155494,-7.425,0.23,-0.01,0.30,3.395,4.760,0.40,131.91543,42.70674,3,7
2017-06-03T11:31:55.10Z,44.3611305,12.2155490,-7.355,-0.38,0.10,0.40,3.338,4.684,0.56,151.68760,35.91999,3,8
2017-06-03T11:31:55.20Z,44.3611302,12.2155494,-7.315,-0.24,0.01,0.80,3.299,4.596,0.49,151.68760,35.92104,3,8
2017-06-03T11:31:55.30Z,44.3611279,12.2155513,-7.653,0.51,-0.47,0.52,3.188,4.428,0.44,269.96019,22.72690,3,8
2017-06-03T11:31:55.40Z,44.3611281,12.2155511,-7.582,0.42,-0.69,0.31,3.150,4.358,0.47,287.95501,19.56453,3,8
2017-06-03T11:31:55.50Z,44.3611254,12.2155531,-7.912,-0.16,-0.11,0.59,3.079,4.248,0.43,287.95501,19.56596,3,8
2017-06-03T11:31:55.60Z,44.3611236,12.2155536,-8.268,-0.31,0.30,0.65,3.001,4.150,0.45,247.17168,32.34384,3,8
2017-06-03T11:31:55.70Z,44.3611237,12.2155524,-8.365,-0.27,0.10,0.74,2.941,4.071,0.47,247.17168,32.34494,3,8
2017-06-03T11:31:55.80Z,44.3611197,12.2155551,-8.941,-0.42,0.21,0.09,2.854,3.940,0.43,195.74832,29.12852,3,7
2017-06-03T11:31:55.90Z,44.3611177,12.2155556,-9.237,-0.91,-0.07,0.21,2.802,3.854,0.43,188.54740,22.59043,3,8
2017-06-03T11:31:56.00Z,44.3611174,12.2155537,-9.457,-0.09,-0.26,0.68,2.773,3.800,0.46,188.54740,22.59190,3,8
2017-06-03T11:31:56.10Z,44.3611178,12.2155517,-9.567,0.29,-0.14,-0.08,2.732,3.738,0.62,188.54740,22.59314,3,8
2017-06-03T11:31:56.20Z,44.3611181,12.2155501,-9.585,0.10,-0.09,0.00,2.706,3.695,0.64,188.54740,22.59442,3,8
2017-06-03T11:31:56.30Z,44.3611183,12.2155481,-9.670,-0.12,-0.15,0.26,2.681,3.656,0.50,188.54740,22.59542,3,8
2017-06-03T11:31:56.40Z,44.3611181,12.2155469,-9.680,-0.33,-0.03,0.46,2.660,3.624,0.63,188.54740,22.59668,3,8
2017-06-03T11:31:56.50Z,44.3611188,12.2155455,-9.578,0.02,0.12,0.18,2.629,3.584,0.46,188.54740,22.59759,3,7
2017-06-03T11:31:56.60Z,44.3611183,12.2155454,-9.573,-0.01,0.22,0.18,2.604,3.555,0.52,188.54740,22.59863,3,8
2017-06-03T11:31:56.70Z,44.3611179,12.2155455,-9.537,0.08,0.00,0.25,2.582,3.523,0.43,188.54740,22.59949,3,8
