time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2015-07-02T13:35:43.60Z,62.0577729,6.9717059,1251.965,-0.62,-0.32,3.79,127.259,309.851,20.86,0.00000,180.00000,3,4
2015-07-02T13:35:43.80Z,62.0578197,6.9717204,1257.239,-0.57,-0.10,2.96,100.859,220.424,12.58,0.00000,175.34454,3,4
2015-07-02T13:35:44.00Z,62.0578128,6.9717253,1256.977,-0.45,-0.17,3.26,86.382,199.829,9.13,0.00000,180.00000,3,4
2015-07-02T13:35:44.20Z,62.0578212,6.9717354,1259.236,-0.54,0.12,2.29,70.393,167.304,7.35,0.00000,140.31698,3,4
2015-07-02T13:35:44.40Z,62.0578135,6.9717403,1258.758,-0.37,0.31,1.63,60.886,147.083,4.97,0.00000,140.31730,3,4
2015-07-02T13:35:44.60Z,62.0578066,6.9717449,1258.379,-0.29,0.37,1.05,54.459,133.139,3.87,0.00000,140.31754,3,4
2015-07-02T13:35:44.80Z,62.0577921,6.9717469,1256.388,-0.34,0.16,1.07,50.017,123.376,3.73,0.00000,140.31778,3,4
2015-07-02T13:35:45.00Z,62.0577977,6.9717485,1257.635,-0.42,0.15,1.07,46.930,116.301,3.65,0.00000,140.31802,3,4
2015-07-02T13:35:45.20Z,62.0577913,6.9717482,1256.494,-0.50,0.16,1.04,44.392,110.507,3.55,0.00000,140.31826,3,4
2015-07-02T13:35:45.40Z,62.0577994,6.9717526,1258.312,-0.28,0.11,0.93,42.242,105.544,3.48,0.00000,140.31846,3,4
2015-07-02T13:35:45.60Z,62.0578050,6.9717592,1259.617,-0.39,0.00,0.91,40.389,101.224,3.43,0.00000,140.31868,3,4
2015-07-02T13:35:45.80Z,62.0578133,6.9717648,1261.241,-0.39,0.06,0.89,38.770,97.416,3.37,0.00000,140.31890,3,4
2015-07-02T13:35:46.00Z,62.0578148,6.9717684,1261.686,-0.45,0.07,0.83,37.364,94.087,3.26,0.00000,140.31912,3,4
2015-07-02T13:35:46.20Z,62.0578247,6.9717710,1264.376,-0.36,0.05,0.98,31.938,78.398,2.89,0.00000,140.31928,3,5
2015-07-02T13:35:46.40Z,62.0578430,6.9717708,1268.654,-0.27,0.15,0.63,29.176,70.221,2.62,0.00000,140.31946,3,5
2015-07-02T13:35:46.60Z,62.0578421,6.9717814,1269.595,-0.33,0.03,0.39,26.061,61.955,2.26,0.00000,140.31960,3,6
2015-07-02T13:35:46.80Z,62.0578510,6.9717951,1274.026,-0.30,0.20,0.55,23.547,55.223,1.86,0.00000,140.31972,3,6
2015-07-02T13:35:47.00Z,62.0578541,6.9717763,1271.083,0.00,-0.04,-0.07,18.597,43.251,1.23,0.00000,140.31980,3,6
2015-07-02T13:35:47.20Z,62.0578165,6.9717725,1256.567,0.84,-0.31,-0.24,14.456,31.880,0.81,339.57172,12.01471,3,6
2015-07-02T13:35:47.40Z,62.0578039,6.9717672,1250.770,0.18,-0.49,0.27,11.610,24.623,0.30,339.57172,12.01515,3,6
2015-07-02T13:35:47.60Z,62.0578236,6.9717616,1253.251,0.15,-0.09,0.30,9.344,19.469,0.59,339.57172,12.01559,3,6
2015-07-02T13:35:47.80Z,62.0578168,6.9717495,1250.196,-0.04,-0.15,-0.13,7.894,16.113,0.34,339.57172,12.01584,3,6
2015-07-02T13:35:48.00Z,62.0578116,6.9717437,1248.257,-0.15,-0.19,-0.04,6.989,13.829,0.13,339.57172,12.01603,3,6
2015-07-02T13:35:48.20Z,62.0578096,6.9717482,1247.192,-0.02,0.05,-0.09,6.373,12.251,0.31,339.57172,12.01626,3,6
2015-07-02T13:35:48.40Z,62.0578062,6.9717536,1246.037,-0.46,0.38,-0.05,5.833,10.967,0.20,30.44730,17.66358,3,6
2015-07-02T13:35:48.60Z,62.0578099,6.9717546,1246.904,-0.71,0.56,-0.27,5.441,10.336,0.22,94.49653,15.13038,3,6
2015-07-02T13:35:48.80Z,62.0578104,6.9717557,1246.999,-0.36,0.06,-0.19,5.206,9.934,0.30,94.49653,15.13062,3,6
2015-07-02T13:35:49.00Z,62.0578115,6.9717597,1246.959,0.03,0.06,-0.13,4.996,9.570,0.44,94.49653,15.13088,3,6
2015-07-02T13:35:49.20Z,62.0578138,6.9717616,1247.469,0.14,0.00,-0.15,4.810,9.244,0.42,94.49653,15.13113,3,6
2015-07-02T13:35:49.40Z,62.0578139,6.9717618,1247.594,-0.02,0.10,-0.14,4.519,8.843,0.40,94.49653,15.13137,3,6
2015-07-02T13:35:49.60Z,62.0578123,6.9717650,1247.082,0.02,0.02,0.03,4.289,8.546,0.27,94.49653,15.13153,3,6
2015-07-02T13:35:49.80Z,62.0578124,6.9717684,1247.290,0.04,0.01,0.01,4.138,8.327,0.20,94.49653,15.13165,3,6
2015-07-02T13:35:50.00Z,62.0578135,6.9717688,1247.344,-0.06,-0.05,0.03,3.968,8.105,0.36,94.49653,15.13187,3,6
2015-07-02T13:35:50.20Z,62.0578140,6.9717708,1247.337,0.07,-0.04,0.12,3.868,7.977,0.37,94.49653,15.13209,3,6
2015-07-02T13:35:50.40Z,62.0578155,6.9717689,1247.549,0.06,-0.66,0.17,3.722,7.566,0.22,37.18880,22.06383,3,6
2015-07-02T13:35:50.60Z,62.0578176,6.9717703,1248.072,-0.25,-0.31,0.04,3.609,7.215,0.21,350.66492,35.47946,3,6
2015-07-02T13:35:50.80Z,62.0578173,6.9717677,1247.495,0.41,-0.02,0.54,3.549,7.112,0.27,355.34275,25.22421,3,6
2015-07-02T13:35:51.00Z,62.0578154,6.9717661,1246.297,0.32,0.53,0.49,3.452,6.814,0.21,32.34563,21.39814,3,6
2015-07-02T13:35:51.20Z,62.0578151,6.9717638,1245.869,0.15,-0.12,0.15,3.342,6.518,0.19,32.34563,21.39824,3,6
2015-07-02T13:35:51.40Z,62.0578151,6.9717643,1245.923,-0.01,0.04,-0.32,3.264,6.286,0.33,32.34563,21.39839,3,6
2015-07-02T13:35:51.60Z,62.0578136,6.9717638,1245.786,-0.65,0.11,-0.19,3.148,6.038,0.28,93.47065,24.02868,3,6
2015-07-02T13:35:51.80Z,62.0578112,6.9717679,1245.598,-1.08,0.86,-0.16,3.062,5.894,0.35,128.36084,14.68120,3,6
2015-07-02T13:35:52.00Z,62.0578096,6.9717702,1245.319,-0.20,0.53,0.05,2.976,5.728,0.21,125.94705,37.24973,3,6
2015-07-02T13:35:52.20Z,62.0578089,6.9717714,1245.215,-0.21,0.16,0.09,2.888,5.548,0.22,125.94705,37.24980,3,6
2015-07-02T13:35:52.40Z,62.0578106,6.9717735,1245.641,-0.12,0.23,0.06,2.807,5.375,0.19,125.94705,37.24986,3,6
2015-07-02T13:35:52.60Z,62.0578114,6.9717750,1245.928,-0.07,0.25,0.05,2.743,5.214,0.32,125.94705,37.24994,3,6
2015-07-02T13:35:52.80Z,62.0578129,6.9717775,1246.402,0.01,0.56,-0.02,2.684,5.059,0.28,99.70746,24.08219,3,6
2015-07-02T13:35:53.00Z,62.0578139,6.9717774,1246.651,0.19,0.11,-0.03,2.628,4.912,0.30,99.70746,24.08230,3,6
2015-07-02T13:35:53.20Z,62.0578140,6.9717777,1246.568,0.06,0.21,-0.03,2.579,4.773,0.39,99.70746,24.08245,3,6
2015-07-02T13:35:53.40Z,62.0578146,6.9717770,1246.588,0.09,-0.04,0.01,2.537,4.658,0.21,99.70746,24.08253,3,6
2015-07-02T13:35:53.60Z,62.0578155,6.9717771,1246.951,-0.09,-0.17,0.03,2.522,4.575,0.41,99.70746,24.08268,3,6
2015-07-02T13:35:53.80Z,62.0578160,6.9717759,1247.131,-0.13,-0.44,0.06,2.513,4.499,0.36,99.70746,24.08285,3,6
2015-07-02T13:35:54.00Z,62.0578171,6.9717749,1247.440,0.00,-0.46,0.03,2.499,4.428,0.36,99.70746,24.08302,3,5
2015-07-02T13:35:54.20Z,62.0578165,6.9717740,1247.386,-0.12,-0.25,0.04,2.484,4.362,0.28,99.70746,24.08313,3,5
2015-07-02T13:35:54.40Z,62.0578181,6.9717757,1247.821,-0.01,0.01,0.05,2.471,4.302,0.52,99.70746,24.08333,3,5
2015-07-02T13:35:54.60Z,62.0578193,6.9717774,1248.080,0.10,0.22,0.01,2.458,4.246,0.26,99.70746,24.08343,3,6
2015-07-02T13:35:54.80Z,62.0578200,6.9717791,1248.147,0.06,0.27,0.03,2.447,4.194,0.29,99.70746,24.08354,3,6
2015-07-02T13:35:55.00Z,62.0578204,6.9717802,1248.438,-0.17,0.13,0.04,2.438,4.148,0.48,99.70746,24.08371,3,6
2015-07-02T13:35:55.20Z,62.0578206,6.9717801,1248.525,-0.12,-0.08,0.02,2.435,4.107,0.43,99.70746,24.08388,3,5
2015-07-02T13:35:55.40Z,62.0578216,6.9717804,1248.719,0.01,-0.07,-0.02,2.433,4.068,0.43,99.70746,24.08404,3,5
2015-07-02T13:35:55.60Z,62.0578221,6.9717803,1248.825,0.01,-0.10,-0.01,2.430,4.031,0.39,99.70746,24.08418,3,5
2015-07-02T13:35:55.80Z,62.0578226,6.9717810,1248.922,-0.01,0.02,0.09,2.426,3.995,0.52,99.70746,24.08438,3,5
2015-07-02T13:35:56.00Z,62.0578235,6.9717818,1249.031,0.05,0.04,0.13,2.419,3.960,0.40,99.70746,24.08453,3,5
2015-07-02T13:35:56.20Z,62.0578242,6.9717819,1249.173,-0.05,-0.09,0.16,2.410,3.924,0.43,99.70746,24.08468,3,5
2015-07-02T13:35:56.40Z,62.0578249,6.9717821,1249.249,0.09,-0.01,0.21,2.399,3.888,0.39,99.70746,24.08483,3,5
