time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),,,
2014-08-07T14:41:39.38Z,46.3701901,17.7081186,2853.823,-50.26,37.00,-6.33,147.807,159.611,3.97,3,4
2014-08-07T14:41:39.80Z,46.3700003,17.7083204,2856.480,-50.26,37.00,-6.33,176.426,146.594,7.88,3,4
2014-08-07T14:42:33.40Z,46.3457800,17.7324369,3092.547,-54.27,30.00,-3.90,74.962,56.643,2.25,3,5
2014-08-07T14:42:33.80Z,46.3455828,17.7325789,3094.034,-54.21,29.71,-3.75,49.428,32.432,1.60,3,5
2014-08-07T14:42:34.00Z,46.3454819,17.7326523,3094.598,-54.09,29.72,-3.76,50.465,33.761,1.37,3,5
2014-08-07T14:42:34.20Z,46.3453837,17.7327239,3095.002,-54.12,29.66,-3.77,43.999,29.823,1.26,3,5
2014-08-07T14:42:34.40Z,46.3452890,17.7327956,3095.292,-54.18,29.42,-3.75,39.523,27.096,1.20,3,5
2014-08-07T14:42:34.60Z,46.3451933,17.7328686,3095.712,-54.24,29.40,-3.78,36.200,25.037,1.16,3,5
2014-08-07T14:42:34.80Z,46.3451000,17.7329443,3096.118,-54.33,29.49,-3.92,33.602,23.399,1.13,3,5
2014-08-07T14:42:35.00Z,46.3450051,17.7330216,3096.766,-54.29,29.59,-4.07,31.645,22.087,1.13,3,5
2014-08-07T14:42:35.20Z,46.3449088,17.7330970,3097.337,-54.34,29.51,-4.06,30.050,21.050,1.13,3,5
2014-08-07T14:42:35.40Z,46.3448121,17.7331708,3097.869,-54.39,29.33,-4.07,28.715,20.221,1.14,3,5
2014-08-07T14:42:35.60Z,46.3447142,17.7332455,3098.524,-54.40,29.27,-4.08,27.548,19.486,1.14,3,5
2014-08-07T14:42:35.80Z,46.3446177,17.7333216,3099.230,-54.42,29.21,-4.11,26.416,18.800,1.12,3,5
2014-08-07T14:42:36.00Z,46.3445211,17.7333975,3099.934,-54.53,29.12,-4.12,25.371,18.141,1.11,3,5
2014-08-07T14:42:36.20Z,46.3444234,17.7334722,3100.641,-54.56,29.03,-4.11,24.443,17.548,1.10,3,5
2014-08-07T14:42:36.40Z,46.3443246,17.7335464,3101.377,-54.57,28.98,-4.09,23.589,16.990,1.10,3,5
2014-08-07T14:42:36.60Z,46.3442265,17.7336206,3102.064,-54.57,28.84,-4.08,22.831,16.502,1.09,3,5
2014-08-07T14:42:36.80Z,46.3441279,17.7336963,3102.867,-54.69,28.86,-4.11,22.150,16.068,1.09,3,5
2014-08-07T14:42:37.00Z,46.3440297,17.7337722,3103.682,-54.76,28.75,-4.15,21.524,15.677,1.10,3,5
2014-08-07T14:42:37.20Z,46.3439310,17.7338472,3104.496,-54.78,28.68,-4.14,20.954,15.325,1.10,3,5
2014-08-07T14:42:37.40Z,46.3438324,17.7339208,3105.202,-54.90,28.49,-4.08,20.427,14.997,1.10,3,5
2014-08-07T14:42:37.60Z,46.3437339,17.7339956,3106.001,-54.89,28.52,-4.11,19.926,14.683,1.09,3,5
2014-08-07T14:42:37.80Z,46.3436356,17.7340688,3106.666,-54.90,28.39,-4.07,19.461,14.390,1.09,3,5
2014-08-07T14:42:38.00Z,46.3435371,17.7341418,3107.353,-54.94,28.28,-4.04,19.050,14.121,1.10,3,5
2014-08-07T14:42:38.20Z,46.3434382,17.7342150,3108.068,-55.07,28.16,-4.01,18.668,13.872,1.11,3,5
2014-08-07T14:42:38.40Z,46.3433398,17.7342886,3108.793,-55.19,28.02,-3.97,18.311,13.646,1.12,3,5
2014-08-07T14:42:38.60Z,46.3432411,17.7343616,3109.510,-55.29,27.87,-3.92,17.972,13.426,1.12,3,5
2014-08-07T14:42:38.80Z,46.3431424,17.7344357,3110.311,-55.37,27.79,-3.91,17.653,13.219,1.12,3,5
2014-08-07T14:42:39.00Z,46.3430433,17.7345100,3111.151,-55.39,27.76,-3.92,17.351,13.022,1.12,3,5
2014-08-07T14:42:39.20Z,46.3429440,17.7345836,3111.942,-55.42,27.74,-3.93,17.042,12.827,1.11,3,5
2014-08-07T14:42:39.40Z,46.3428448,17.7346558,3112.644,-55.40,27.71,-3.92,16.750,12.641,1.10,3,5
2014-08-07T14:42:39.60Z,46.3427447,17.7347275,3113.373,-55.44,27.69,-3.93,16.474,12.464,1.09,3,5
2014-08-07T14:42:39.80Z,46.3426440,17.7347988,3114.124,-55.43,27.67,-3.94,16.186,12.286,1.08,3,5
2014-08-07T14:42:40.00Z,46.3425430,17.7348702,3114.920,-55.51,27.61,-3.97,15.914,12.116,1.07,3,5
2014-08-07T14:42:40.20Z,46.3424413,17.7349417,3115.806,-55.54,27.59,-4.03,15.620,11.942,1.05,3,5
2014-08-07T14:42:40.40Z,46.3423393,17.7350132,3116.678,-55.58,27.62,-4.08,15.344,11.781,1.04,3,5
2014-08-07T14:42:40.60Z,46.3422373,17.7350842,3117.535,-55.62,27.61,-4.16,15.085,11.629,1.04,3,5
2014-08-07T14:42:40.80Z,46.3421356,17.7351548,3118.361,-55.67,27.60,-4.21,14.840,11.483,1.03,3,5
2014-08-07T14:42:41.00Z,46.3420345,17.7352254,3119.180,-55.66,27.50,-4.27,14.607,11.343,1.03,3,5
2014-08-07T14:42:41.20Z,46.3419334,17.7352949,3119.920,-55.74,27.40,-4.28,14.385,11.207,1.03,3,5
2014-08-07T14:42:41.40Z,46.3418321,17.7353638,3120.622,-55.79,27.33,-4.30,14.174,11.076,1.03,3,5
2014-08-07T14:42:41.60Z,46.3417296,17.7354334,3121.505,-55.84,27.31,-4.36,13.948,10.945,1.02,3,5
2014-08-07T14:42:41.80Z,46.3416276,17.7355029,3122.319,-55.99,27.22,-4.37,13.735,10.818,1.01,3,5
2014-08-07T14:42:42.00Z,46.3415245,17.7355720,3123.194,-56.07,27.12,-4.39,13.520,10.692,0.75,3,5
2014-08-07T14:42:42.20Z,46.3414193,17.7356403,3124.164,-56.11,27.04,-4.38,13.293,10.561,0.70,3,5
2014-08-07T14:42:42.40Z,46.3413176,17.7357085,3124.910,-56.13,26.95,-4.37,13.079,10.433,0.69,3,5
2014-08-07T14:42:42.60Z,46.3412167,17.7357775,3125.656,-56.18,26.88,-4.35,12.882,10.314,0.69,3,5
2014-08-07T14:42:42.80Z,46.3411159,17.7358463,3126.434,-56.26,26.76,-4.36,12.693,10.197,0.69,3,5
2014-08-07T14:42:43.00Z,46.3410138,17.7359150,3127.272,-56.28,26.69,-4.34,12.514,10.083,0.69,3,5
2014-08-07T14:42:43.20Z,46.3409133,17.7359833,3128.022,-56.34,26.61,-4.37,12.374,9.989,0.87,3,5
2014-08-07T14:42:43.40Z,46.3408119,17.7360519,3128.825,-56.40,26.61,-4.37,12.300,9.917,1.01,3,5
2014-08-07T14:42:43.60Z,46.3407099,17.7361191,3129.717,-56.61,25.93,-4.38,12.253,9.863,1.22,3,5
2014-08-07T14:42:43.80Z,46.3406075,17.7361850,3130.697,-56.87,25.39,-4.53,12.168,9.801,1.29,3,5
2014-08-07T14:42:44.00Z,46.3405055,17.7362510,3131.489,-56.99,25.79,-4.58,12.138,9.764,1.45,3,5
2014-08-07T14:42:44.20Z,46.3404041,17.7363193,3132.277,-57.07,26.32,-4.61,12.109,9.725,1.52,3,5
2014-08-07T14:42:44.40Z,46.3403034,17.7363850,3133.065,-56.98,25.85,-4.65,12.091,9.684,1.62,3,5
2014-08-07T14:42:44.60Z,46.3402040,17.7364536,3133.838,-56.87,26.29,-4.69,12.081,9.646,1.70,3,5
2014-08-07T14:42:44.80Z,46.3401056,17.7365215,3134.620,-56.51,26.31,-4.72,12.077,9.612,1.74,3,5
2014-08-07T14:42:45.00Z,46.3400069,17.7365892,3135.482,-56.26,26.32,-4.81,12.080,9.584,1.77,3,5
2014-08-07T14:42:45.20Z,46.3399069,17.7366551,3136.346,-56.24,26.03,-4.89,12.083,9.561,1.78,3,5
2014-08-07T14:42:45.40Z,46.3398079,17.7367222,3137.189,-56.16,26.14,-4.96,12.089,9.542,1.78,3,5
2014-08-07T14:42:45.60Z,46.3397097,17.7367913,3138.217,-55.98,26.33,-5.08,12.100,9.522,1.78,3,5
2014-08-07T14:42:45.80Z,46.3396134,17.7368592,3138.990,-55.66,26.41,-5.10,12.079,9.451,1.73,3,5
2014-08-07T14:42:46.00Z,46.3395151,17.7369272,3139.592,-55.77,26.49,-4.94,12.005,9.358,1.69,3,5
2014-08-07T14:42:46.20Z,46.3394168,17.7369926,3140.232,-55.66,25.81,-4.82,11.940,9.307,1.65,3,5
2014-08-07T14:42:46.40Z,46.3393175,17.7370580,3140.813,-55.98,25.53,-4.69,11.793,9.235,1.59,3,5
2014-08-07T14:42:46.60Z,46.3392154,17.7371242,3141.598,-56.30,25.58,-4.62,11.634,9.159,1.50,3,5
2014-08-07T14:42:46.80Z,46.3391137,17.7371893,3142.382,-56.47,25.49,-4.61,11.470,9.078,1.40,3,5
2014-08-07T14:42:47.00Z,46.3390117,17.7372534,3143.124,-56.66,25.32,-4.63,11.299,8.997,1.31,3,5
2014-08-07T14:42:47.20Z,46.3389104,17.7373185,3143.854,-56.79,25.28,-4.60,11.133,8.917,1.22,3,5
2014-08-07T14:42:47.40Z,46.3388087,17.7373844,3144.595,-56.82,25.44,-4.55,10.973,8.841,1.15,3,5
2014-08-07T14:42:47.60Z,46.3387054,17.7374501,3145.534,-56.85,25.33,-4.55,10.818,8.764,1.10,3,5
2014-08-07T14:42:47.80Z,46.3386020,17.7375162,3146.550,-56.88,25.39,-4.60,10.692,8.696,1.06,3,5
2014-08-07T14:42:48.00Z,46.3384989,17.7375815,3147.393,-56.85,25.36,-4.62,10.573,8.631,1.04,3,5
2014-08-07T14:42:48.20Z,46.3383949,17.7376458,3148.270,-56.95,25.19,-4.69,10.458,8.566,1.04,3,5
2014-08-07T14:42:48.40Z,46.3382913,17.7377124,3149.277,-57.03,25.37,-4.72,10.347,8.499,1.03,3,5
2014-08-07T14:42:48.60Z,46.3381885,17.7377794,3150.346,-56.95,25.45,-4.77,10.239,8.434,1.03,3,5
2014-08-07T14:42:48.80Z,46.3380864,17.7378451,3151.237,-56.98,25.45,-4.79,10.138,8.376,1.03,3,5
2014-08-07T14:42:49.00Z,46.3379841,17.7379108,3152.262,-56.90,25.48,-4.87,10.045,8.325,1.03,3,5
2014-08-07T14:42:49.20Z,46.3378826,17.7379773,3153.266,-56.73,25.52,-4.97,9.949,8.269,0.92,3,5
2014-08-07T14:42:49.40Z,46.3377807,17.7380423,3154.050,-56.58,25.41,-4.99,9.864,8.221,0.92,3,5
2014-08-07T14:42:49.60Z,46.3376805,17.7381065,3154.769,-56.59,25.41,-5.03,9.781,8.174,0.91,3,5
2014-08-07T14:42:49.80Z,46.3375786,17.7381713,3155.670,-56.67,25.45,-5.07,9.690,8.122,0.70,3,5
2014-08-07T14:42:50.00Z,46.3374774,17.7382362,3156.514,-56.60,25.42,-5.10,9.607,8.072,0.68,3,5
2014-08-07T14:42:50.20Z,46.3373762,17.7383031,3157.477,-56.57,25.54,-5.10,9.529,8.028,0.67,3,5
2014-08-07T14:42:50.40Z,46.3372747,17.7383691,3158.517,-56.54,25.40,-5.13,9.466,7.985,0.69,3,5
2014-08-07T14:42:50.60Z,46.3371725,17.7384336,3159.423,-56.52,25.37,-5.11,9.403,7.939,0.69,3,5
2014-08-07T14:42:50.80Z,46.3370711,17.7384972,3160.254,-56.43,25.30,-5.06,9.341,7.895,0.69,3,5
2014-08-07T14:42:51.00Z,46.3369691,17.7385622,3161.220,-56.42,25.40,-5.07,9.283,7.850,0.85,3,5
2014-08-07T14:42:51.20Z,46.3368667,17.7386293,3162.403,-56.50,25.46,-5.08,9.223,7.804,0.71,3,5
2014-08-07T14:42:51.40Z,46.3367646,17.7386936,3163.316,-56.36,25.32,-5.07,9.155,7.756,0.68,3,5
2014-08-07T14:42:51.60Z,46.3366627,17.7387591,3164.341,-56.39,25.40,-5.08,9.084,7.704,0.67,3,5
2014-08-07T14:42:51.80Z,46.3365618,17.7388246,3165.366,-56.33,25.39,-5.08,9.014,7.651,0.67,3,5
2014-08-07T14:42:52.00Z,46.3364619,17.7388899,3166.251,-56.34,25.43,-5.07,8.944,7.597,0.67,3,5
2014-08-07T14:42:52.20Z,46.3363615,17.7389553,3167.184,-56.36,25.43,-5.10,8.876,7.542,0.67,3,5
2014-08-07T14:42:52.40Z,46.3362603,17.7390208,3168.154,-56.30,25.36,-5.06,8.804,7.483,0.66,3,5
2014-08-07T14:42:52.60Z,46.3361592,17.7390857,3169.089,-56.35,25.34,-5.07,8.725,7.423,0.65,3,5
2014-08-07T14:42:52.80Z,46.3360574,17.7391511,3170.016,-56.29,25.51,-5.06,8.659,7.369,0.66,3,5
2014-08-07T14:42:53.00Z,46.3359565,17.7392166,3170.956,-56.30,25.55,-5.11,8.596,7.316,0.66,3,5
2014-08-07T14:42:53.20Z,46.3358558,17.7392826,3171.962,-56.23,25.52,-5.13,8.531,7.263,0.65,3,5
2014-08-07T14:42:53.40Z,46.3357542,17.7393481,3172.979,-56.14,25.51,-5.14,8.471,7.215,0.65,3,5
2014-08-07T14:42:53.60Z,46.3356516,17.7394133,3173.955,-56.17,25.56,-5.11,8.413,7.170,0.65,3,5
2014-08-07T14:42:53.80Z,46.3355493,17.7394792,3174.997,-56.17,25.60,-5.10,8.360,7.131,0.66,3,5
2014-08-07T14:42:54.00Z,46.3354476,17.7395445,3175.990,-56.11,25.62,-5.08,8.311,7.094,0.66,3,5
2014-08-07T14:42:54.20Z,46.3353462,17.7396112,3177.019,-56.14,25.70,-5.07,8.276,7.066,0.84,3,5
2014-08-07T14:42:54.40Z,46.3352453,17.7396776,3178.012,-56.17,25.61,-5.03,8.246,7.040,0.91,3,5
2014-08-07T14:42:54.60Z,46.3351446,17.7397432,3178.859,-56.11,25.60,-4.94,8.211,7.016,0.71,3,5
2014-08-07T14:42:54.80Z,46.3350438,17.7398078,3179.640,-56.10,25.56,-4.88,8.177,6.990,0.68,3,5
2014-08-07T14:42:55.00Z,46.3349428,17.7398728,3180.447,-56.04,25.58,-4.82,8.144,6.965,0.68,3,5
2014-08-07T14:42:55.20Z,46.3348411,17.7399384,3181.327,-56.10,25.58,-4.74,8.116,6.948,0.68,3,5
2014-08-07T14:42:55.40Z,46.3347394,17.7400059,3182.428,-56.13,25.62,-4.77,8.087,6.922,0.68,3,5
2014-08-07T14:42:55.60Z,46.3346377,17.7400722,3183.532,-56.13,25.28,-4.81,8.056,6.893,0.68,3,5
2014-08-07T14:42:55.80Z,46.3345364,17.7401387,3184.504,-56.22,25.54,-4.78,8.052,6.882,1.04,3,5
2014-08-07T14:42:56.00Z,46.3344348,17.7402036,3185.347,-56.30,25.69,-4.81,8.071,6.884,1.30,3,4
2014-08-07T14:42:56.20Z,46.3343328,17.7402709,3186.323,-56.44,25.98,-4.83,8.072,6.873,1.38,3,5
2014-08-07T14:42:56.40Z,46.3342319,17.7403367,3187.226,-56.21,25.85,-4.83,8.070,6.865,1.41,3,6
2014-08-07T14:42:56.60Z,46.3341305,17.7404046,3188.226,-56.20,25.96,-4.77,8.051,6.858,1.35,3,6
2014-08-07T14:42:56.80Z,46.3340315,17.7404717,3189.159,-55.66,26.00,-4.73,8.017,6.851,1.04,3,6
2014-08-07T14:42:57.00Z,46.3339304,17.7405391,3190.077,-55.78,25.96,-4.67,7.986,6.822,1.24,3,5
2014-08-07T14:42:57.20Z,46.3338287,17.7406060,3191.017,-55.96,25.75,-4.61,7.941,6.783,1.29,3,5
