time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),,,
2015-07-02T12:25:31.20Z,62.0578050,6.9713684,1248.399,0.41,1.42,0.37,68.458,65.095,3.71,3,5
2015-07-02T12:25:31.40Z,62.0578153,6.9713849,1248.597,0.17,0.97,0.25,38.769,38.100,1.99,3,5
2015-07-02T12:25:31.80Z,62.0578153,6.9713719,1249.583,0.22,0.39,0.13,35.454,35.413,1.30,3,5
2015-07-02T12:25:32.00Z,62.0578140,6.9713694,1249.255,-0.03,0.32,0.06,31.776,31.447,1.14,3,5
2015-07-02T12:25:32.20Z,62.0578192,6.9713817,1247.825,0.04,0.17,0.07,29.125,27.372,1.21,3,5
2015-07-02T12:25:32.40Z,62.0578234,6.9713993,1246.300,0.05,0.17,0.03,27.132,24.749,1.16,3,5
2015-07-02T12:25:32.60Z,62.0578252,6.9714190,1245.465,0.08,0.21,-0.09,24.580,22.957,0.91,3,5
2015-07-02T12:25:32.80Z,62.0578294,6.9714550,1244.132,0.02,-0.04,-0.07,22.348,21.538,0.95,3,5
2015-07-02T12:25:33.00Z,62.0578283,6.9714435,1243.945,0.11,0.23,0.05,20.655,20.375,0.96,3,5
2015-07-02T12:25:33.20Z,62.0578271,6.9714392,1244.142,-0.26,-0.18,-0.08,19.369,19.587,0.73,3,5
2015-07-02T12:25:33.40Z,62.0578296,6.9714597,1244.002,0.33,0.42,0.12,18.315,18.965,0.72,3,5
2015-07-02T12:25:33.60Z,62.0578327,6.9714910,1243.556,0.09,0.08,0.30,16.123,18.467,0.82,3,5
2015-07-02T12:25:33.80Z,62.0578330,6.9714844,1243.311,0.04,0.13,0.34,14.903,18.024,0.86,3,5
2015-07-02T12:25:34.00Z,62.0578367,6.9715260,1243.267,-0.09,0.46,0.27,14.079,17.628,0.81,3,5
2015-07-02T12:25:34.20Z,62.0578374,6.9715384,1243.285,-0.13,0.49,0.33,13.451,17.283,0.77,3,5
