time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2015-07-03T10:35:57.00Z,62.0578537,6.9719128,1248.106,0.08,0.08,-0.20,20.697,33.724,1.29,0.00000,180.00000,3,11
2015-07-03T10:35:58.00Z,62.0578045,6.9717994,1245.157,0.25,-0.15,0.51,8.598,11.543,0.25,329.56030,32.39345,3,11
2015-07-03T10:35:58.20Z,62.0578045,6.9717696,1245.276,-0.07,0.20,0.73,6.702,9.391,0.27,19.11031,43.76118,3,11
2015-07-03T10:35:58.40Z,62.0578041,6.9717689,1245.821,-0.31,0.17,0.41,5.534,8.288,0.25,115.46616,26.63165,3,11
2015-07-03T10:35:58.60Z,62.0578033,6.9717622,1246.627,-0.25,-0.13,0.40,5.043,7.732,0.30,149.57269,34.61326,3,11
2015-07-03T10:35:58.80Z,62.0578066,6.9717645,1245.923,-0.10,0.23,0.30,4.605,7.384,0.27,135.65109,43.73162,3,11
2015-07-03T10:35:59.00Z,62.0578052,6.9717653,1245.967,-0.09,0.13,0.23,4.283,7.139,0.29,135.65109,43.73168,3,11
2015-07-03T10:35:59.20Z,62.0578048,6.9717677,1245.986,0.06,-0.02,0.18,4.015,6.880,0.28,135.65109,43.73173,3,11
2015-07-03T10:35:59.40Z,62.0578074,6.9717661,1246.362,0.01,-0.09,0.24,3.834,6.721,0.33,135.65109,43.73180,3,11
2015-07-03T10:35:59.60Z,62.0578088,6.9717664,1246.492,-0.20,-0.14,0.34,3.728,6.639,0.37,135.65109,43.73189,3,11
2015-07-03T10:35:59.80Z,62.0578100,6.9717707,1246.828,-0.01,-0.23,0.38,3.572,6.547,0.33,135.65109,43.73198,3,11
2015-07-03T10:36:00.00Z,62.0578117,6.9717674,1247.336,0.06,-0.40,0.02,3.449,6.419,0.18,223.71513,34.46300,3,11
2015-07-03T10:36:00.20Z,62.0578123,6.9717673,1247.359,0.18,-0.18,0.09,3.332,6.225,0.21,223.71513,34.46307,3,11
2015-07-03T10:36:00.40Z,62.0578111,6.9717681,1247.140,-0.11,-0.11,0.28,3.179,5.852,0.35,223.71513,34.46316,3,11
2015-07-03T10:36:00.60Z,62.0578106,6.9717700,1246.952,-0.08,-0.10,0.26,3.076,5.544,0.34,223.71513,34.46325,3,11
2015-07-03T10:36:00.80Z,62.0578101,6.9717673,1247.233,0.07,-0.46,0.35,2.994,5.297,0.25,255.17469,29.66439,3,11
2015-07-03T10:36:01.00Z,62.0578107,6.9717675,1247.232,0.43,-0.36,0.18,2.957,5.225,0.22,295.18974,23.46912,3,11
2015-07-03T10:36:01.20Z,62.0578108,6.9717669,1246.892,0.25,-0.55,0.13,2.919,5.114,0.22,295.07802,23.71413,3,10
2015-07-03T10:36:01.40Z,62.0578138,6.9717665,1247.254,0.36,-0.64,0.01,2.799,4.860,0.24,297.76360,17.00078,3,10
2015-07-03T10:36:01.60Z,62.0578149,6.9717638,1248.073,0.56,-0.48,0.02,2.687,4.610,0.22,308.98464,16.62637,3,10
2015-07-03T10:36:01.80Z,62.0578165,6.9717615,1247.950,0.68,-0.45,0.10,2.555,4.324,0.22,317.85255,16.19861,3,10
2015-07-03T10:36:02.00Z,62.0578172,6.9717588,1248.220,0.55,-0.41,0.05,2.435,4.069,0.22,320.27924,18.93687,3,11
2015-07-03T10:36:02.20Z,62.0578178,6.9717561,1247.739,0.29,-0.52,0.05,2.378,3.915,0.25,310.68766,20.52751,3,11
2015-07-03T10:36:02.40Z,62.0578184,6.9717527,1247.671,0.47,-0.71,0.15,2.318,3.785,0.24,305.65790,14.30923,3,11
2015-07-03T10:36:02.60Z,62.0578182,6.9717502,1247.833,0.18,-0.61,-0.08,2.239,3.618,0.20,297.08580,15.90731,3,11
2015-07-03T10:36:02.80Z,62.0578202,6.9717476,1248.311,0.45,-0.53,0.13,2.173,3.469,0.20,302.93752,18.38346,3,11
2015-07-03T10:36:03.00Z,62.0578225,6.9717470,1248.808,0.57,-0.36,0.01,2.109,3.331,0.19,314.93431,18.98887,3,11
2015-07-03T10:36:03.20Z,62.0578222,6.9717450,1248.793,0.47,-0.53,-0.02,2.068,3.242,0.20,313.06216,18.30411,3,11
2015-07-03T10:36:03.40Z,62.0578214,6.9717424,1248.649,0.39,-0.56,0.01,2.021,3.157,0.20,308.02530,14.82443,3,11
2015-07-03T10:36:03.60Z,62.0578222,6.9717406,1248.843,0.44,-0.62,0.17,1.981,3.077,0.20,306.51209,13.95135,3,11
2015-07-03T10:36:03.80Z,62.0578235,6.9717392,1249.443,0.28,-0.71,0.04,1.928,2.972,0.18,298.36507,12.72755,3,11
2015-07-03T10:36:04.00Z,62.0578237,6.9717382,1249.376,0.32,-0.57,0.02,1.876,2.870,0.15,298.93268,14.19999,3,11
