time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2015-07-03T10:58:01.40Z,62.0578290,6.9717906,1248.798,0.01,0.00,-0.01,4.134,5.626,0.27,0.00000,180.00000,3,10
2015-07-03T10:58:01.60Z,62.0578283,6.9717955,1248.450,-0.02,0.02,0.04,3.010,3.344,0.20,0.00000,180.00000,3,10
2015-07-03T10:58:01.80Z,62.0578288,6.9717965,1248.013,0.02,0.03,0.08,3.027,3.571,0.19,0.00000,180.00000,3,10
2015-07-03T10:58:02.00Z,62.0578287,6.9717979,1247.821,-0.03,-0.01,0.03,2.627,3.218,0.21,0.00000,180.00000,3,10
2015-07-03T10:58:02.20Z,62.0578294,6.9717984,1247.641,-0.02,0.00,0.04,2.389,2.976,0.22,0.00000,180.00000,3,10
2015-07-03T10:58:02.40Z,62.0578297,6.9717984,1247.447,0.03,-0.01,0.08,2.182,2.770,0.20,0.00000,180.00000,3,10
2015-07-03T10:58:02.60Z,62.0578293,6.9717985,1247.344,-0.03,-0.01,0.07,2.023,2.589,0.22,0.00000,180.00000,3,10
2015-07-03T10:58:02.80Z,62.0578294,6.9717981,1247.351,0.01,0.03,0.01,1.896,2.439,0.15,0.00000,180.00000,3,10
2015-07-03T10:58:03.00Z,62.0578292,6.9717979,1247.323,0.01,0.00,0.03,1.799,2.318,0.19,0.00000,180.00000,3,10
2015-07-03T10:58:03.20Z,62.0578290,6.9717977,1247.315,-0.01,0.01,0.07,1.714,2.211,0.22,0.00000,180.00000,3,10
2015-07-03T10:58:03.40Z,62.0578291,6.9717986,1247.278,-0.02,0.02,0.07,1.623,2.110,0.21,0.00000,180.00000,3,10
2015-07-03T10:58:03.60Z,62.0578291,6.9717992,1247.246,-0.03,0.03,0.05,1.557,2.034,0.21,0.00000,180.00000,3,10
2015-07-03T10:58:03.80Z,62.0578289,6.9717996,1247.183,-0.03,-0.02,0.07,1.503,1.967,0.23,0.00000,180.00000,3,10
2015-07-03T10:58:04.00Z,62.0578292,6.9718001,1247.181,-0.01,0.03,0.02,1.457,1.914,0.18,0.00000,180.00000,3,10
2015-07-03T10:58:04.20Z,62.0578294,6.9717999,1247.128,0.06,-0.02,0.10,1.420,1.866,0.19,0.00000,149.72586,3,10
2015-07-03T10:58:04.40Z,62.0578294,6.9718000,1247.085,-0.04,-0.01,0.03,1.385,1.821,0.20,0.00000,149.72588,3,10
2015-07-03T10:58:04.60Z,62.0578296,6.9718002,1247.060,-0.01,0.02,0.04,1.350,1.779,0.21,0.00000,149.72590,3,10
2015-07-03T10:58:04.80Z,62.0578298,6.9718004,1247.047,0.02,0.03,0.01,1.319,1.739,0.16,0.00000,149.72590,3,10
2015-07-03T10:58:05.00Z,62.0578298,6.9718009,1247.021,-0.02,0.02,0.03,1.286,1.701,0.19,0.00000,149.72592,3,10
2015-07-03T10:58:05.20Z,62.0578298,6.9718010,1246.987,-0.01,-0.01,0.09,1.260,1.673,0.22,0.00000,149.72594,3,10
2015-07-03T10:58:05.40Z,62.0578299,6.9718010,1246.965,0.01,-0.01,0.08,1.238,1.648,0.22,0.00000,149.72594,3,10
2015-07-03T10:58:05.60Z,62.0578299,6.9718013,1246.950,-0.03,0.04,0.08,1.216,1.622,0.21,0.00000,149.72596,3,10
2015-07-03T10:58:05.80Z,62.0578301,6.9718013,1246.939,0.02,-0.01,0.07,1.196,1.598,0.21,0.00000,149.72598,3,10
2015-07-03T10:58:06.00Z,62.0578301,6.9718017,1246.940,-0.05,0.03,0.03,1.172,1.574,0.18,0.00000,149.72600,3,10
