time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2015-07-03T11:05:01.20Z,62.0579052,6.9716814,1250.298,0.11,-0.07,-0.21,43.623,55.334,1.10,0.00000,180.00000,3,6
2015-07-03T11:05:01.40Z,62.0578968,6.9716745,1249.982,0.08,-0.04,-0.11,30.194,32.503,0.72,0.00000,180.00000,3,6
2015-07-03T11:05:01.60Z,62.0578920,6.9716777,1249.940,0.01,0.05,-0.08,30.541,34.233,0.54,0.00000,180.00000,3,6
2015-07-03T11:05:01.80Z,62.0578885,6.9716758,1249.489,-0.05,-0.04,-0.07,26.647,30.814,0.50,0.00000,180.00000,3,6
2015-07-03T11:05:02.00Z,62.0578898,6.9716730,1249.124,0.09,0.00,-0.02,23.885,28.176,0.69,0.00000,180.00000,3,6
2015-07-03T11:05:02.20Z,62.0578896,6.9716726,1248.895,0.01,0.08,-0.03,21.788,26.117,0.36,0.00000,180.00000,3,6
2015-07-03T11:05:02.40Z,62.0578878,6.9716705,1248.683,-0.01,-0.03,0.02,20.098,24.492,0.42,0.00000,180.00000,3,6
2015-07-03T11:05:02.60Z,62.0578845,6.9716670,1248.269,0.01,-0.04,0.04,18.674,23.170,0.37,0.00000,180.00000,3,6
2015-07-03T11:05:02.80Z,62.0578819,6.9716664,1248.099,-0.02,0.04,0.04,17.606,22.085,0.42,0.00000,180.00000,3,6
2015-07-03T11:05:03.00Z,62.0578821,6.9716675,1248.084,-0.01,-0.01,0.07,16.647,21.108,0.46,0.00000,180.00000,3,6
2015-07-03T11:05:03.20Z,62.0578816,6.9716681,1248.035,-0.05,0.00,0.07,15.786,20.217,0.54,0.00000,180.00000,3,6
2015-07-03T11:05:03.40Z,62.0578797,6.9716673,1247.797,0.01,0.00,0.09,15.048,19.472,0.43,0.00000,180.00000,3,6
2015-07-03T11:05:03.60Z,62.0578793,6.9716671,1247.646,-0.10,-0.02,0.10,14.405,18.807,0.56,0.00000,165.06114,3,6
2015-07-03T11:05:03.80Z,62.0578819,6.9716682,1247.562,0.03,0.02,0.10,13.838,18.207,0.42,0.00000,165.06118,3,6
2015-07-03T11:05:04.00Z,62.0578849,6.9716686,1247.402,-0.08,0.02,0.14,13.333,17.664,0.52,0.00000,165.06120,3,6
2015-07-03T11:05:04.20Z,62.0578862,6.9716679,1247.163,0.03,-0.02,0.14,12.880,17.167,0.42,0.00000,165.06122,3,6
2015-07-03T11:05:04.40Z,62.0578872,6.9716692,1247.130,-0.04,0.04,0.18,12.471,16.711,0.46,0.00000,165.06126,3,6
2015-07-03T11:05:04.60Z,62.0578879,6.9716695,1247.021,-0.07,0.01,0.20,12.099,16.310,0.48,0.00000,165.06128,3,6
2015-07-03T11:05:04.80Z,62.0578879,6.9716699,1246.846,-0.07,-0.04,0.22,11.759,15.937,0.47,0.00000,165.06130,3,6
2015-07-03T11:05:05.00Z,62.0578886,6.9716707,1246.683,-0.03,0.04,0.20,11.459,15.592,0.45,0.00000,165.06134,3,6
2015-07-03T11:05:05.20Z,62.0578890,6.9716712,1246.533,-0.05,0.01,0.17,11.181,15.269,0.47,0.00000,165.06136,3,6
2015-07-03T11:05:05.40Z,62.0578889,6.9716713,1246.366,0.05,-0.02,0.16,10.967,15.001,0.41,0.00000,165.06140,3,6
2015-07-03T11:05:05.60Z,62.0578888,6.9716712,1246.212,-0.12,-0.03,0.18,10.773,14.735,0.53,0.00000,165.06142,3,6
2015-07-03T11:05:05.80Z,62.0578895,6.9716709,1246.037,0.06,0.01,0.17,10.590,14.493,0.42,0.00000,165.06144,3,6
2015-07-03T11:05:06.00Z,62.0578898,6.9716704,1245.830,-0.16,0.03,0.14,10.417,14.263,0.62,0.00000,165.06148,3,6
2015-07-03T11:05:06.20Z,62.0578903,6.9716693,1245.624,-0.08,-0.09,0.10,10.252,14.031,0.49,0.00000,165.06150,3,6
2015-07-03T11:05:06.40Z,62.0578904,6.9716695,1245.426,-0.02,0.07,0.09,10.102,13.819,0.46,0.00000,165.06152,3,6
2015-07-03T11:05:06.60Z,62.0578902,6.9716687,1245.166,-0.10,-0.03,0.05,9.955,13.615,0.63,0.00000,165.06156,3,6
2015-07-03T11:05:06.80Z,62.0578912,6.9716683,1244.959,0.04,0.01,0.03,9.778,13.397,0.50,0.00000,165.06160,3,6
2015-07-03T11:05:07.00Z,62.0578921,6.9716682,1244.827,-0.07,0.01,0.02,9.610,13.190,0.65,0.00000,165.06164,3,6
2015-07-03T11:05:07.20Z,62.0578936,6.9716681,1244.738,0.05,-0.01,-0.01,9.456,13.000,0.64,0.00000,165.06168,3,6
2015-07-03T11:05:07.40Z,62.0578956,6.9716683,1244.757,0.10,-0.01,0.00,9.283,12.782,0.62,0.00000,165.06172,3,6
2015-07-03T11:05:07.60Z,62.0578974,6.9716687,1244.794,-0.15,-0.01,0.00,9.132,12.581,0.61,0.00000,165.06174,3,6
2015-07-03T11:05:07.80Z,62.0578994,6.9716696,1244.796,0.13,0.03,0.02,8.998,12.392,0.58,0.00000,165.06178,3,6
2015-07-03T11:05:08.00Z,62.0579005,6.9716698,1244.775,-0.09,-0.03,0.03,8.878,12.215,0.60,0.00000,165.06180,3,6
2015-07-03T11:05:08.20Z,62.0579014,6.9716702,1244.792,0.09,0.02,0.02,8.763,12.064,0.57,0.00000,165.06182,3,6
2015-07-03T11:05:08.40Z,62.0579016,6.9716703,1244.820,-0.04,-0.05,-0.01,8.659,11.921,0.44,0.00000,165.06186,3,6
2015-07-03T11:05:08.60Z,62.0579023,6.9716704,1244.871,0.07,0.06,-0.05,8.561,11.783,0.52,0.00000,165.06188,3,6
2015-07-03T11:05:08.80Z,62.0579022,6.9716699,1244.776,0.04,-0.06,0.00,8.475,11.663,0.48,0.00000,165.06190,3,6
2015-07-03T11:05:09.00Z,62.0579013,6.9716697,1244.639,-0.07,-0.01,0.03,8.391,11.557,0.65,0.00000,165.06194,3,6
2015-07-03T11:05:09.20Z,62.0579016,6.9716697,1244.635,0.07,0.08,0.01,8.314,11.459,0.49,0.00000,165.06196,3,6
2015-07-03T11:05:09.40Z,62.0579015,6.9716695,1244.604,0.00,0.01,0.00,8.241,11.363,0.59,0.00000,165.06200,3,6
2015-07-03T11:05:09.60Z,62.0579016,6.9716688,1244.628,-0.04,-0.07,0.00,8.168,11.260,0.54,0.00000,165.06202,3,6
2015-07-03T11:05:09.80Z,62.0579012,6.9716686,1244.634,-0.16,-0.05,-0.03,8.099,11.162,0.72,0.00000,165.06206,3,6
2015-07-03T11:05:10.00Z,62.0579017,6.9716689,1244.601,0.06,0.07,-0.04,8.038,11.078,0.62,0.00000,165.06210,3,6
2015-07-03T11:05:10.20Z,62.0579021,6.9716686,1244.627,0.03,-0.03,-0.07,7.976,10.996,0.54,0.00000,165.06212,3,6
2015-07-03T11:05:10.40Z,62.0579024,6.9716685,1244.534,0.06,-0.01,-0.01,7.918,10.923,0.72,0.00000,165.06216,3,6
2015-07-03T11:05:10.60Z,62.0579026,6.9716680,1244.561,-0.01,-0.05,-0.07,7.859,10.851,0.46,0.00000,165.06218,3,6
2015-07-03T11:05:10.80Z,62.0579029,6.9716677,1244.575,0.06,-0.01,-0.11,7.801,10.783,0.59,0.00000,165.06222,3,6
2015-07-03T11:05:11.00Z,62.0579111,6.9716610,1244.240,0.09,0.00,-0.01,7.361,10.429,0.81,0.00000,165.06226,3,6
2015-07-03T11:05:11.20Z,62.0579141,6.9716547,1244.191,0.45,-0.01,-0.15,6.383,9.594,0.69,0.00000,165.06228,3,6
2015-07-03T11:05:11.40Z,62.0579118,6.9716600,1244.537,0.66,0.20,-0.24,6.153,9.436,0.57,16.41923,22.88986,3,6
2015-07-03T11:05:11.60Z,62.0579106,6.9716619,1244.453,-0.13,0.48,-0.07,6.101,9.380,0.44,16.41923,22.89006,3,6
2015-07-03T11:05:11.80Z,62.0579103,6.9716627,1244.430,0.15,0.20,0.04,6.048,9.329,0.55,16.41923,22.89028,3,6
2015-07-03T11:05:12.00Z,62.0579094,6.9716626,1244.317,0.14,0.02,0.10,5.988,9.283,0.68,16.41923,22.89054,3,6
2015-07-03T11:05:12.20Z,62.0579080,6.9716625,1244.266,0.28,0.06,0.04,5.826,9.093,0.63,16.41923,22.89079,3,6
2015-07-03T11:05:12.40Z,62.0579052,6.9716641,1243.794,0.13,-0.07,0.04,5.714,8.903,0.51,16.41923,22.89099,3,6
2015-07-03T11:05:12.60Z,62.0579015,6.9716639,1243.286,0.12,-0.23,0.01,5.562,8.731,0.30,16.41923,22.89111,3,6
2015-07-03T11:05:12.80Z,62.0579010,6.9716627,1243.309,-0.07,-0.02,0.01,5.421,8.565,0.54,16.41923,22.89132,3,6
2015-07-03T11:05:13.00Z,62.0579000,6.9716630,1242.972,0.01,0.07,0.00,5.290,8.436,0.30,16.41923,22.89144,3,6
2015-07-03T11:05:13.20Z,62.0578997,6.9716633,1242.859,0.03,0.08,0.00,5.197,8.342,0.29,16.41923,22.89155,3,6
2015-07-03T11:05:13.40Z,62.0579028,6.9716657,1243.038,-0.02,0.11,-0.01,5.030,8.201,0.24,16.41923,22.89165,3,6
2015-07-03T11:05:13.60Z,62.0579013,6.9716648,1242.956,0.29,0.54,0.01,4.776,7.929,0.26,29.69388,35.81883,3,6
2015-07-03T11:05:13.80Z,62.0578930,6.9716614,1242.000,0.04,-0.03,-0.03,4.569,7.716,0.41,29.69388,35.81893,3,6
2015-07-03T11:05:14.00Z,62.0578854,6.9716623,1240.948,0.04,-0.03,-0.01,4.332,7.449,0.36,29.69388,35.81902,3,6
2015-07-03T11:05:14.20Z,62.0578846,6.9716599,1241.098,-0.01,-0.06,-0.02,4.123,7.164,0.22,29.69388,35.81908,3,6
2015-07-03T11:05:14.40Z,62.0578863,6.9716614,1242.038,0.00,0.14,-0.04,3.946,6.703,0.21,29.69388,35.81913,3,6
