time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2015-07-03T12:30:05.00Z,62.0577746,6.9716492,1246.578,-0.02,0.13,-0.14,26.910,34.745,1.36,0.00000,155.59694,3,6
2015-07-03T12:30:05.20Z,62.0577898,6.9716373,1248.493,0.02,0.03,0.16,21.556,29.291,0.73,0.00000,155.59736,3,7
2015-07-03T12:30:05.80Z,62.0578200,6.9716766,1248.301,-0.09,-0.25,0.75,11.143,14.007,0.57,0.00000,155.59852,3,7
2015-07-03T12:30:06.00Z,62.0578262,6.9716754,1248.329,0.15,-0.27,0.58,9.904,12.364,0.54,0.00000,155.59890,3,8
2015-07-03T12:30:06.20Z,62.0578266,6.9716761,1247.078,0.12,-0.31,0.88,8.847,10.753,0.54,0.00000,155.59944,3,8
2015-07-03T12:30:06.40Z,62.0578251,6.9716669,1246.990,0.00,-0.37,0.75,7.962,9.605,0.50,0.00000,155.59994,3,9
2015-07-03T12:30:06.60Z,62.0578233,6.9716650,1246.566,0.18,-0.24,1.10,7.357,8.887,0.54,0.00000,155.60060,3,8
2015-07-03T12:30:06.80Z,62.0578228,6.9716602,1246.209,-0.11,-0.24,0.98,6.901,8.154,0.60,0.00000,155.60118,3,9
2015-07-03T12:30:07.00Z,62.0578264,6.9716616,1246.611,-0.29,-0.04,1.33,6.490,7.649,0.66,0.00000,155.60196,3,9
2015-07-03T12:30:07.20Z,62.0578276,6.9716592,1246.569,-0.33,-0.22,1.68,6.023,7.162,0.75,0.00000,155.60296,3,9
2015-07-03T12:30:07.40Z,62.0578304,6.9716531,1246.449,-0.27,-0.05,1.42,5.579,6.720,0.84,0.00000,155.60380,3,9
2015-07-03T12:30:07.60Z,62.0578316,6.9716521,1246.256,-0.05,-0.05,1.07,5.334,6.566,0.86,0.00000,155.60442,3,9
2015-07-03T12:30:07.80Z,62.0578328,6.9716557,1246.272,-0.19,0.11,0.81,5.152,6.436,0.89,0.00000,155.60494,3,9
2015-07-03T12:30:08.00Z,62.0578295,6.9716533,1246.641,-0.20,0.07,0.36,4.958,6.169,0.93,0.00000,155.60548,3,9
2015-07-03T12:30:08.20Z,62.0578320,6.9716514,1246.652,0.01,-0.01,0.13,4.730,5.826,0.72,0.00000,155.60588,3,9
2015-07-03T12:30:08.40Z,62.0578343,6.9716532,1246.940,-0.13,0.18,0.31,4.546,5.527,0.83,0.00000,155.60636,3,9
2015-07-03T12:30:08.60Z,62.0578380,6.9716548,1247.589,-0.12,-0.33,0.05,4.382,5.257,0.40,0.00000,155.60660,3,9
2015-07-03T12:30:08.80Z,62.0578377,6.9716542,1248.009,-0.12,-0.23,0.03,4.279,5.057,0.46,0.00000,155.60686,3,9
2015-07-03T12:30:09.00Z,62.0578379,6.9716531,1248.425,-0.11,0.01,-0.47,4.143,4.890,0.80,0.00000,155.60732,3,9
2015-07-03T12:30:09.20Z,62.0578373,6.9716466,1248.756,-0.77,-1.03,-0.84,3.953,4.729,0.90,241.80449,42.12597,3,8
2015-07-03T12:30:09.40Z,62.0578384,6.9716430,1248.880,-0.30,-1.23,-1.29,3.840,4.612,1.04,250.59243,34.35155,3,8
2015-07-03T12:30:09.60Z,62.0578398,6.9716456,1248.198,0.05,-0.11,-0.14,3.690,4.542,1.07,250.59243,34.35435,3,8
2015-07-03T12:30:09.80Z,62.0578412,6.9716469,1248.015,0.05,0.36,-0.04,3.554,4.483,0.48,250.59243,34.35560,3,9
2015-07-03T12:30:10.00Z,62.0578410,6.9716492,1247.858,-0.19,0.13,0.17,3.422,4.421,0.92,250.59243,34.35801,3,9
2015-07-03T12:30:10.20Z,62.0578415,6.9716512,1247.774,-0.18,0.23,-0.01,3.377,4.382,0.90,250.59243,34.36038,3,9
2015-07-03T12:30:10.40Z,62.0578412,6.9716529,1247.559,-0.41,0.16,-0.07,3.325,4.328,0.56,214.30556,42.52835,3,9
2015-07-03T12:30:10.60Z,62.0578410,6.9716534,1247.809,-0.83,-0.15,-0.39,3.252,4.197,0.49,201.06643,38.47423,3,9
2015-07-03T12:30:10.80Z,62.0578395,6.9716532,1247.843,-0.54,0.04,-0.18,3.178,4.067,0.52,201.06643,38.47556,3,9
2015-07-03T12:30:11.00Z,62.0578401,6.9716525,1247.928,-0.34,-0.10,-0.02,3.089,3.940,0.51,201.06643,38.47676,3,9
2015-07-03T12:30:11.20Z,62.0578409,6.9716529,1247.922,-0.08,0.32,0.23,3.004,3.829,0.68,201.06643,38.47835,3,9
2015-07-03T12:30:11.40Z,62.0578410,6.9716545,1247.769,0.07,0.34,0.22,2.936,3.731,0.55,201.06643,38.47964,3,9
2015-07-03T12:30:11.60Z,62.0578411,6.9716554,1247.685,0.11,0.32,0.18,2.880,3.643,0.52,201.06643,38.48085,3,9
2015-07-03T12:30:11.80Z,62.0578417,6.9716536,1247.570,0.30,0.20,-0.05,2.807,3.549,0.31,201.06643,38.48171,3,9
2015-07-03T12:30:12.00Z,62.0578433,6.9716527,1247.696,0.02,0.07,0.04,2.717,3.455,0.49,201.06643,38.48286,3,9
2015-07-03T12:30:12.20Z,62.0578437,6.9716525,1247.916,-0.15,0.42,-0.04,2.635,3.375,0.32,150.99010,34.99195,3,9
2015-07-03T12:30:12.40Z,62.0578441,6.9716505,1248.169,-0.39,0.23,0.09,2.526,3.259,0.39,149.98198,29.42931,3,9
2015-07-03T12:30:12.60Z,62.0578444,6.9716496,1248.130,-0.37,0.18,0.17,2.425,3.157,0.39,151.87185,33.77200,3,9
2015-07-03T12:30:12.80Z,62.0578459,6.9716479,1248.102,-0.14,0.20,0.04,2.343,3.061,0.35,151.87185,33.77293,3,9
2015-07-03T12:30:13.00Z,62.0578461,6.9716477,1247.982,-0.06,0.30,0.28,2.307,3.003,0.57,151.87185,33.77445,3,9
2015-07-03T12:30:13.20Z,62.0578473,6.9716488,1247.886,0.10,0.43,0.06,2.275,2.948,0.34,151.87185,33.77563,3,9
2015-07-03T12:30:13.40Z,62.0578476,6.9716499,1247.785,0.27,0.36,0.11,2.247,2.904,0.41,151.87185,33.77685,3,9
2015-07-03T12:30:13.60Z,62.0578479,6.9716513,1247.800,0.40,0.38,-0.33,2.219,2.868,0.37,151.87185,33.77857,3,9
2015-07-03T12:30:13.80Z,62.0578491,6.9716537,1247.916,1.04,0.48,-0.48,2.181,2.832,0.41,67.85380,24.15631,3,9
2015-07-03T12:30:14.00Z,62.0578510,6.9716544,1247.808,1.27,0.25,0.17,2.124,2.787,0.45,30.05655,17.07983,3,9
2015-07-03T12:30:14.20Z,62.0578515,6.9716548,1247.739,0.11,-0.34,0.00,2.113,2.782,0.54,30.05655,17.08270,3,9
2015-07-03T12:30:14.40Z,62.0578516,6.9716555,1247.579,0.50,-0.10,-0.09,2.086,2.755,0.67,30.05655,17.08622,3,9
2015-07-03T12:30:14.60Z,62.0578519,6.9716555,1247.595,0.26,-0.29,0.01,2.074,2.751,0.57,30.05655,17.08923,3,9
2015-07-03T12:30:14.80Z,62.0578519,6.9716555,1247.467,-0.02,-0.42,0.44,2.067,2.738,0.58,30.05655,17.09244,3,9
2015-07-03T12:30:15.00Z,62.0578518,6.9716570,1247.272,0.47,-0.26,0.41,2.039,2.706,0.43,21.23162,40.84165,3,9
2015-07-03T12:30:15.20Z,62.0578525,6.9716579,1247.192,0.48,0.01,0.12,2.018,2.678,0.42,9.08823,33.53379,3,9
2015-07-03T12:30:15.40Z,62.0578528,6.9716606,1247.143,0.07,0.15,0.32,1.985,2.642,0.50,9.08823,33.53512,3,9
2015-07-03T12:30:15.60Z,62.0578524,6.9716627,1246.926,0.22,-0.57,0.56,1.957,2.612,0.51,9.08823,33.53735,3,9
2015-07-03T12:30:15.80Z,62.0578522,6.9716637,1246.770,0.44,-0.73,0.21,1.933,2.591,0.36,336.73089,35.09125,3,9
2015-07-03T12:30:16.00Z,62.0578524,6.9716639,1246.575,0.35,-0.38,0.45,1.911,2.569,0.44,336.73089,35.09299,3,9
2015-07-03T12:30:16.20Z,62.0578521,6.9716656,1246.341,-0.45,0.28,0.54,1.897,2.549,0.62,42.05168,44.79944,3,9
2015-07-03T12:30:16.40Z,62.0578520,6.9716686,1246.448,-0.15,-0.01,0.32,1.886,2.527,0.63,42.05168,44.80071,3,9
2015-07-03T12:30:16.60Z,62.0578517,6.9716690,1246.418,-0.21,-0.22,0.24,1.883,2.512,0.59,42.05168,44.80189,3,9
2015-07-03T12:30:16.80Z,62.0578519,6.9716688,1246.214,0.03,0.01,0.48,1.886,2.505,0.60,42.05168,44.80310,3,9
2015-07-03T12:30:17.00Z,62.0578523,6.9716705,1246.087,0.37,0.07,0.69,1.876,2.495,0.42,42.05168,44.80468,3,9
2015-07-03T12:30:17.20Z,62.0578521,6.9716722,1246.052,-0.22,0.03,0.46,1.869,2.486,0.71,42.05168,44.80612,3,9
2015-07-03T12:30:17.40Z,62.0578513,6.9716732,1246.278,0.15,-0.48,0.04,1.850,2.467,0.41,42.05168,44.80713,3,9
2015-07-03T12:30:17.60Z,62.0578510,6.9716732,1246.280,-0.10,0.22,-0.05,1.834,2.457,0.44,42.05168,44.80802,3,9
2015-07-03T12:30:17.80Z,62.0578510,6.9716730,1246.323,0.03,-0.02,-0.03,1.818,2.447,0.56,42.05168,44.80915,3,9
2015-07-03T12:30:18.00Z,62.0578511,6.9716722,1246.381,-0.10,-0.31,0.03,1.802,2.435,0.32,42.05168,44.80980,3,9
2015-07-03T12:30:18.20Z,62.0578514,6.9716719,1246.376,0.16,-0.50,-0.01,1.788,2.417,0.46,42.05168,44.81086,3,9
2015-07-03T12:30:18.40Z,62.0578516,6.9716707,1246.365,0.05,-0.10,0.13,1.776,2.397,0.49,42.05168,44.81184,3,9
2015-07-03T12:30:18.60Z,62.0578521,6.9716703,1246.330,0.18,-0.04,0.20,1.758,2.382,0.55,42.05168,44.81295,3,9
2015-07-03T12:30:18.80Z,62.0578522,6.9716698,1246.297,-0.06,-0.05,0.07,1.741,2.368,0.47,42.05168,44.81389,3,9
2015-07-03T12:30:19.00Z,62.0578514,6.9716707,1246.184,-0.16,-0.15,0.21,1.724,2.354,0.48,42.05168,44.81485,3,9
2015-07-03T12:30:19.20Z,62.0578513,6.9716700,1246.221,0.18,-0.13,0.18,1.708,2.339,0.41,42.05168,44.81567,3,9
2015-07-03T12:30:19.40Z,62.0578510,6.9716686,1246.227,-0.31,-0.36,-0.01,1.699,2.331,0.35,42.05168,44.81663,3,9
2015-07-03T12:30:19.60Z,62.0578508,6.9716677,1246.124,0.01,-0.12,0.25,1.687,2.317,0.47,42.05168,44.81757,3,9
2015-07-03T12:30:19.80Z,62.0578509,6.9716677,1246.096,0.32,-0.35,0.23,1.676,2.303,0.36,350.62462,38.60708,3,9
2015-07-03T12:30:20.00Z,62.0578510,6.9716671,1246.069,0.04,-0.22,0.39,1.663,2.283,0.40,350.62462,38.60813,3,9
2015-07-03T12:30:20.20Z,62.0578506,6.9716666,1246.170,-0.51,-0.25,-0.18,1.655,2.272,0.35,282.88715,41.12063,3,9
2015-07-03T12:30:20.40Z,62.0578500,6.9716648,1246.520,-0.22,-0.46,-0.40,1.647,2.263,0.36,282.88715,41.12204,3,9
2015-07-03T12:30:20.60Z,62.0578494,6.9716643,1246.710,-0.12,0.40,-0.33,1.638,2.257,0.41,282.88715,41.12319,3,9
2015-07-03T12:30:20.80Z,62.0578488,6.9716669,1246.838,-0.68,0.72,0.18,1.630,2.255,0.43,173.42193,24.83245,3,9
2015-07-03T12:30:21.00Z,62.0578485,6.9716696,1246.874,-0.72,0.39,0.30,1.624,2.253,0.55,164.63610,29.95506,3,9
2015-07-03T12:30:21.20Z,62.0578486,6.9716701,1247.096,-0.41,0.03,-0.04,1.620,2.253,0.56,164.63610,29.95674,3,9
