time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2015-07-03T12:32:12.80Z,62.0578578,6.9715834,1245.584,0.04,0.00,-0.08,0.889,1.335,0.28,185.26533,28.50651,3,10
2015-07-03T12:32:13.00Z,62.0578582,6.9715843,1245.602,0.19,0.20,-0.01,0.890,1.336,0.15,131.20497,35.71497,3,10
2015-07-03T12:32:13.20Z,62.0578584,6.9715844,1245.630,0.10,-0.03,0.00,0.890,1.338,0.18,131.20497,35.71502,3,10
2015-07-03T12:32:13.40Z,62.0578582,6.9715849,1245.595,0.05,0.07,0.00,0.889,1.337,0.14,131.20497,35.71505,3,10
2015-07-03T12:32:13.60Z,62.0578581,6.9715852,1245.570,0.07,0.06,-0.01,0.888,1.336,0.17,131.20497,35.71509,3,10
2015-07-03T12:32:13.80Z,62.0578583,6.9715853,1245.604,0.00,0.04,0.00,0.887,1.335,0.13,131.20497,35.71512,3,10
2015-07-03T12:32:14.00Z,62.0578582,6.9715850,1245.605,-0.06,-0.03,-0.01,0.886,1.334,0.15,131.20497,35.71516,3,10
2015-07-03T12:32:14.20Z,62.0578582,6.9715850,1245.605,-0.06,0.02,0.01,0.885,1.333,0.19,131.20497,35.71521,3,10
2015-07-03T12:32:14.40Z,62.0578582,6.9715851,1245.628,-0.07,0.06,0.00,0.884,1.332,0.15,131.20497,35.71525,3,10
2015-07-03T12:32:14.60Z,62.0578580,6.9715848,1245.635,-0.20,-0.04,0.09,0.882,1.330,0.20,163.30792,33.58130,3,10
2015-07-03T12:32:14.80Z,62.0578585,6.9715835,1245.681,0.05,-0.33,0.11,0.880,1.328,0.14,229.89253,28.54645,3,10
2015-07-03T12:32:15.00Z,62.0578594,6.9715820,1245.702,0.37,-0.36,0.07,0.880,1.327,0.15,292.59429,17.34817,3,10
2015-07-03T12:32:15.20Z,62.0578602,6.9715806,1245.747,0.37,-0.35,-0.04,0.879,1.326,0.16,304.29053,17.51855,3,10
2015-07-03T12:32:15.40Z,62.0578608,6.9715799,1245.782,0.29,-0.15,-0.07,0.878,1.325,0.20,314.24785,23.84585,3,10
2015-07-03T12:32:15.60Z,62.0578611,6.9715801,1245.807,0.22,0.08,-0.10,0.878,1.324,0.21,335.91100,33.45202,3,10
2015-07-03T12:32:15.80Z,62.0578615,6.9715800,1245.849,0.12,0.01,-0.04,0.877,1.324,0.21,335.91100,33.45207,3,10
2015-07-03T12:32:16.00Z,62.0578614,6.9715809,1245.883,-0.14,0.25,-0.02,0.877,1.324,0.15,51.33779,31.81478,3,10
2015-07-03T12:32:16.20Z,62.0578611,6.9715817,1245.904,-0.25,0.23,0.00,0.877,1.325,0.17,105.47094,24.02966,3,10
2015-07-03T12:32:16.40Z,62.0578607,6.9715827,1245.912,-0.22,0.27,0.01,0.876,1.325,0.17,117.09756,24.72723,3,10
2015-07-03T12:32:16.60Z,62.0578606,6.9715830,1245.942,-0.09,0.05,0.01,0.875,1.323,0.19,117.09756,24.72730,3,10
2015-07-03T12:32:16.80Z,62.0578606,6.9715828,1245.972,-0.06,-0.05,0.03,0.874,1.322,0.20,117.09756,24.72737,3,10
2015-07-03T12:32:17.00Z,62.0578606,6.9715827,1246.002,-0.04,-0.01,0.00,0.873,1.320,0.15,117.09756,24.72743,3,10
2015-07-03T12:32:17.20Z,62.0578606,6.9715827,1246.040,-0.03,0.01,-0.04,0.872,1.319,0.15,117.09756,24.72748,3,10
2015-07-03T12:32:17.40Z,62.0578606,6.9715825,1246.058,-0.02,-0.08,0.00,0.872,1.318,0.12,117.09756,24.72753,3,10
2015-07-03T12:32:17.60Z,62.0578607,6.9715828,1246.095,0.00,0.05,0.00,0.871,1.317,0.13,117.09756,24.72757,3,10
2015-07-03T12:32:17.80Z,62.0578608,6.9715831,1246.130,-0.01,0.05,0.01,0.870,1.316,0.14,117.09756,24.72763,3,10
2015-07-03T12:32:18.00Z,62.0578609,6.9715833,1246.164,0.01,0.05,0.01,0.869,1.315,0.12,117.09756,24.72767,3,10
2015-07-03T12:32:18.20Z,62.0578611,6.9715834,1246.187,0.09,0.02,-0.03,0.868,1.314,0.19,117.09756,24.72774,3,10
2015-07-03T12:32:18.40Z,62.0578611,6.9715834,1246.214,0.03,-0.01,-0.04,0.867,1.313,0.25,117.09756,24.72783,3,10
2015-07-03T12:32:18.60Z,62.0578611,6.9715834,1246.239,0.05,-0.02,-0.06,0.867,1.313,0.25,117.09756,24.72792,3,10
2015-07-03T12:32:18.80Z,62.0578612,6.9715831,1246.268,0.01,-0.06,-0.05,0.867,1.314,0.20,117.09756,24.72799,3,10
2015-07-03T12:32:19.00Z,62.0578610,6.9715836,1246.300,-0.08,0.10,-0.04,0.867,1.315,0.14,117.09756,24.72805,3,10
2015-07-03T12:32:19.20Z,62.0578606,6.9715849,1246.278,-0.27,0.31,0.11,0.866,1.314,0.17,125.30336,20.85664,3,10
2015-07-03T12:32:19.40Z,62.0578606,6.9715856,1246.275,-0.05,0.15,0.11,0.865,1.313,0.17,125.30336,20.85672,3,10
2015-07-03T12:32:19.60Z,62.0578607,6.9715858,1246.320,-0.05,0.03,0.04,0.865,1.313,0.20,125.30336,20.85681,3,10
2015-07-03T12:32:19.80Z,62.0578609,6.9715859,1246.329,0.04,0.01,0.00,0.864,1.313,0.17,125.30336,20.85688,3,10
2015-07-03T12:32:20.00Z,62.0578610,6.9715861,1246.359,-0.02,0.06,-0.07,0.864,1.313,0.18,125.30336,20.85696,3,10
2015-07-03T12:32:20.20Z,62.0578611,6.9715862,1246.379,0.02,0.00,-0.04,0.864,1.312,0.24,125.30336,20.85706,3,10
2015-07-03T12:32:20.40Z,62.0578612,6.9715863,1246.401,0.01,0.00,0.00,0.864,1.312,0.16,125.30336,20.85713,3,10
2015-07-03T12:32:20.60Z,62.0578614,6.9715865,1246.426,0.01,0.01,0.00,0.863,1.312,0.14,125.30336,20.85719,3,10
2015-07-03T12:32:20.80Z,62.0578616,6.9715866,1246.452,0.04,0.01,0.00,0.863,1.312,0.17,125.30336,20.85726,3,10
2015-07-03T12:32:21.00Z,62.0578618,6.9715868,1246.486,0.03,0.02,-0.02,0.863,1.312,0.21,125.30336,20.85735,3,10
2015-07-03T12:32:21.20Z,62.0578619,6.9715868,1246.514,0.00,-0.02,-0.03,0.862,1.311,0.19,125.30336,20.85743,3,10
2015-07-03T12:32:21.40Z,62.0578619,6.9715868,1246.515,0.00,0.02,0.00,0.863,1.312,0.14,125.30336,20.85750,3,9
2015-07-03T12:32:21.60Z,62.0578620,6.9715867,1246.528,0.03,-0.02,-0.02,0.862,1.312,0.20,125.30336,20.85758,3,10
2015-07-03T12:32:21.80Z,62.0578621,6.9715867,1246.556,0.04,-0.02,-0.03,0.862,1.312,0.21,125.30336,20.85767,3,10
2015-07-03T12:32:22.00Z,62.0578626,6.9715850,1246.598,0.22,-0.41,-0.13,0.862,1.312,0.16,220.13836,18.86172,3,10
2015-07-03T12:32:22.20Z,62.0578625,6.9715845,1246.621,-0.10,-0.14,-0.10,0.863,1.314,0.13,220.13836,18.86181,3,10
2015-07-03T12:32:22.40Z,62.0578625,6.9715845,1246.643,0.02,-0.05,-0.04,0.864,1.316,0.22,220.13836,18.86192,3,10
2015-07-03T12:32:22.60Z,62.0578625,6.9715846,1246.651,-0.01,0.00,-0.01,0.865,1.317,0.14,220.13836,18.86198,3,10
2015-07-03T12:32:22.80Z,62.0578625,6.9715845,1246.646,0.01,0.00,0.01,0.866,1.317,0.16,220.13836,18.86206,3,10
2015-07-03T12:32:23.00Z,62.0578625,6.9715843,1246.622,0.06,-0.01,-0.04,0.867,1.318,0.27,220.13836,18.86219,3,10
2015-07-03T12:32:23.20Z,62.0578624,6.9715840,1246.579,0.08,-0.04,-0.01,0.869,1.320,0.21,220.13836,18.86229,3,10
2015-07-03T12:32:23.40Z,62.0578623,6.9715838,1246.550,0.03,-0.02,0.02,0.871,1.323,0.16,220.13836,18.86237,3,10
2015-07-03T12:32:23.60Z,62.0578623,6.9715837,1246.530,0.00,-0.03,0.01,0.872,1.324,0.16,220.13836,18.86244,3,10
2015-07-03T12:32:23.80Z,62.0578625,6.9715836,1246.534,0.07,0.00,-0.04,0.873,1.325,0.26,220.13836,18.86257,3,10
2015-07-03T12:32:24.00Z,62.0578618,6.9715845,1246.479,-0.28,0.20,0.10,0.872,1.325,0.21,189.92702,23.04670,3,10
2015-07-03T12:32:24.20Z,62.0578614,6.9715834,1246.447,-0.24,-0.29,0.15,0.871,1.323,0.19,208.81224,24.85867,3,10
2015-07-03T12:32:24.40Z,62.0578616,6.9715823,1246.432,0.09,-0.27,0.10,0.870,1.322,0.15,232.56797,38.15515,3,10
2015-07-03T12:32:24.60Z,62.0578622,6.9715807,1246.429,0.31,-0.43,0.08,0.870,1.322,0.15,291.89936,18.32154,3,10
2015-07-03T12:32:24.80Z,62.0578628,6.9715783,1246.427,0.33,-0.61,0.00,0.869,1.322,0.13,296.08643,14.50058,3,10
