time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),,,
2015-07-03T12:22:10.00Z,62.0578478,6.9718891,1197.030,0.28,0.04,-2.38,21.685,39.027,2.90,3,6
2015-07-03T12:22:10.20Z,62.0578807,6.9718120,1201.612,-0.20,-0.15,-1.64,15.939,20.808,1.04,3,6
2015-07-03T12:22:10.40Z,62.0578864,6.9717989,1202.857,-0.03,-0.31,-1.39,14.789,21.349,0.71,3,6
2015-07-03T12:22:10.60Z,62.0578807,6.9718125,1204.179,-0.25,0.06,-1.28,12.975,19.300,0.60,3,7
2015-07-03T12:22:10.80Z,62.0578979,6.9718059,1208.933,-0.58,0.38,-1.11,11.091,16.778,0.46,3,6
2015-07-03T12:22:11.00Z,62.0579323,6.9717877,1214.146,-0.54,0.55,-0.86,9.621,14.822,0.47,3,6
2015-07-03T12:22:11.20Z,62.0579434,6.9718004,1218.260,-0.38,0.07,-0.27,8.442,12.772,0.37,3,6
2015-07-03T12:22:11.40Z,62.0579385,6.9718210,1219.734,-0.47,0.05,0.06,7.680,11.314,0.40,3,7
2015-07-03T12:22:11.60Z,62.0579334,6.9718429,1220.868,-0.50,0.08,0.40,7.118,10.221,0.38,3,7
2015-07-03T12:22:11.80Z,62.0579280,6.9718573,1220.840,-0.40,0.08,0.54,6.777,9.653,0.40,3,7
2015-07-03T12:22:12.00Z,62.0579231,6.9718678,1220.077,-0.51,0.06,0.68,6.475,9.155,0.43,3,7
2015-07-03T12:22:12.20Z,62.0579223,6.9718766,1219.550,-0.16,0.02,0.82,6.257,8.890,0.39,3,7
2015-07-03T12:22:12.40Z,62.0579221,6.9718820,1218.180,-0.72,-0.05,0.95,6.003,8.696,0.47,3,7
2015-07-03T12:22:12.60Z,62.0579208,6.9718828,1217.840,-0.26,0.20,0.97,5.763,8.506,0.43,3,7
2015-07-03T12:22:12.80Z,62.0579114,6.9718938,1218.188,-0.12,0.15,1.04,5.459,8.280,0.44,3,7
2015-07-03T12:22:13.00Z,62.0579031,6.9719014,1219.283,-0.29,-0.04,0.86,5.131,8.008,0.49,3,7
2015-07-03T12:22:13.20Z,62.0579014,6.9719060,1220.839,-0.14,-0.10,0.73,4.853,7.770,0.51,3,7
2015-07-03T12:22:13.40Z,62.0578990,6.9719229,1222.425,-0.10,-0.07,0.51,4.623,7.547,0.51,3,7
2015-07-03T12:22:13.60Z,62.0579044,6.9719611,1227.595,-0.29,-0.26,0.37,4.400,7.116,0.51,3,7
2015-07-03T12:22:13.80Z,62.0579043,6.9719787,1229.840,-0.19,0.13,-0.01,4.190,6.750,0.33,3,7
2015-07-03T12:22:14.00Z,62.0579067,6.9719866,1230.815,0.08,0.08,0.15,3.993,6.416,0.33,3,7
2015-07-03T12:22:14.20Z,62.0579103,6.9719921,1231.049,-0.17,0.09,0.28,3.824,6.188,0.45,3,7
2015-07-03T12:22:14.40Z,62.0579164,6.9719999,1232.236,0.02,-0.06,-0.02,3.667,5.956,0.28,3,7
2015-07-03T12:22:14.60Z,62.0579131,6.9720011,1232.829,0.05,0.09,0.00,3.452,5.595,0.19,3,7
2015-07-03T12:22:14.80Z,62.0579174,6.9720090,1233.316,-0.07,-0.19,0.19,3.338,5.422,0.27,3,7
2015-07-03T12:22:15.00Z,62.0579203,6.9720149,1233.836,0.06,-0.05,0.02,3.249,5.343,0.29,3,7
2015-07-03T12:22:15.20Z,62.0579217,6.9720238,1234.339,0.06,-0.10,-0.01,3.150,5.194,0.29,3,7
2015-07-03T12:22:15.40Z,62.0579235,6.9720249,1234.108,-0.11,-0.22,0.41,3.073,5.119,0.30,3,7
2015-07-03T12:22:15.60Z,62.0579204,6.9720243,1233.748,0.16,-0.07,0.53,2.990,4.933,0.31,3,7
2015-07-03T12:22:15.80Z,62.0579176,6.9720255,1233.817,-0.01,-0.05,0.31,2.912,4.764,0.30,3,7
2015-07-03T12:22:16.00Z,62.0579151,6.9720284,1234.072,0.08,0.04,0.23,2.834,4.626,0.29,3,7
2015-07-03T12:22:16.20Z,62.0579152,6.9720315,1234.421,-0.10,0.13,0.26,2.777,4.529,0.30,3,7
2015-07-03T12:22:16.40Z,62.0579138,6.9720299,1234.410,-0.06,-0.05,0.21,2.730,4.466,0.37,3,7
2015-07-03T12:22:16.60Z,62.0579116,6.9720292,1234.419,0.00,0.07,0.25,2.687,4.411,0.35,3,7
