time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),,,
2015-07-03T12:26:20.40Z,62.0580443,6.9716601,1264.263,-0.44,-1.39,-1.70,113.907,69.624,3.02,3,5
2015-07-03T12:26:20.60Z,62.0580115,6.9717092,1264.269,-1.17,-1.31,-0.96,67.274,42.702,1.80,3,5
2015-07-03T12:26:20.80Z,62.0579192,6.9717678,1252.277,-2.09,-1.15,-0.22,56.085,34.411,1.56,3,5
2015-07-03T12:26:21.00Z,62.0578653,6.9718117,1253.734,-1.40,-0.85,-0.17,36.477,23.763,0.93,3,6
2015-07-03T12:26:21.20Z,62.0578894,6.9718175,1256.010,-1.18,-0.82,-0.11,28.054,19.589,0.67,3,6
2015-07-03T12:26:21.40Z,62.0578815,6.9718227,1253.635,-1.45,-0.92,0.64,22.402,16.621,0.59,3,6
2015-07-03T12:26:21.60Z,62.0578538,6.9718221,1250.563,-1.21,-0.82,0.99,18.301,14.647,0.37,3,6
2015-07-03T12:26:21.80Z,62.0578487,6.9718374,1249.478,-0.88,-0.76,1.15,14.846,13.185,0.38,3,7
2015-07-03T12:26:22.00Z,62.0578456,6.9718399,1247.587,-0.88,-0.97,1.62,12.577,11.935,0.38,3,6
2015-07-03T12:26:22.20Z,62.0578367,6.9718371,1247.981,-0.92,-0.90,1.92,10.914,10.834,0.39,3,6
2015-07-03T12:26:22.40Z,62.0578272,6.9718305,1246.626,-0.92,-0.67,1.94,9.549,9.953,0.40,3,6
2015-07-03T12:26:22.60Z,62.0578240,6.9718342,1245.172,-0.97,-0.60,2.01,8.469,9.303,0.40,3,6
2015-07-03T12:26:22.80Z,62.0578131,6.9718427,1243.936,-1.78,0.53,2.09,7.845,8.936,0.60,3,7
2015-07-03T12:26:23.00Z,62.0578078,6.9718478,1243.041,-1.84,0.56,1.71,7.303,8.366,0.61,3,7
2015-07-03T12:26:23.20Z,62.0578101,6.9718568,1242.581,-0.94,0.10,1.43,6.846,8.104,0.56,3,7
2015-07-03T12:26:23.40Z,62.0578152,6.9718572,1242.382,-0.37,-0.28,1.39,6.402,7.712,0.50,3,7
2015-07-03T12:26:23.60Z,62.0578209,6.9718499,1242.395,-0.15,-0.12,1.27,5.938,7.008,0.46,3,7
2015-07-03T12:26:23.80Z,62.0578148,6.9718496,1241.901,0.01,-0.07,0.74,5.526,6.406,0.33,3,7
2015-07-03T12:26:24.00Z,62.0578198,6.9718494,1242.360,0.18,-0.06,0.56,5.227,5.916,0.28,3,7
2015-07-03T12:26:24.20Z,62.0578208,6.9718535,1242.158,-0.05,-0.08,0.23,4.949,5.459,0.31,3,7
2015-07-03T12:26:24.40Z,62.0578205,6.9718549,1242.020,-0.09,-0.16,0.19,4.698,5.098,0.34,3,7
2015-07-03T12:26:24.60Z,62.0578225,6.9718504,1242.569,0.05,-0.32,0.17,4.494,4.888,0.19,3,7
2015-07-03T12:26:24.80Z,62.0578259,6.9718393,1243.770,-0.03,0.15,-0.12,4.241,4.605,0.17,3,7
2015-07-03T12:26:25.00Z,62.0578284,6.9718370,1244.737,0.20,0.17,-0.69,4.068,4.406,0.34,3,7
2015-07-03T12:26:25.20Z,62.0578307,6.9718398,1245.278,0.23,0.98,-0.95,3.837,4.212,0.22,3,7
2015-07-03T12:26:25.40Z,62.0578358,6.9718409,1245.624,0.34,0.58,-0.77,3.644,4.114,0.32,3,7
2015-07-03T12:26:25.60Z,62.0578397,6.9718412,1245.832,0.33,0.22,-0.53,3.477,4.023,0.38,3,7
2015-07-03T12:26:25.80Z,62.0578434,6.9718426,1246.172,-0.09,0.30,-0.40,3.338,3.947,0.29,3,7
2015-07-03T12:26:26.00Z,62.0578419,6.9718421,1246.261,-0.09,0.22,-0.32,3.217,3.876,0.33,3,7
2015-07-03T12:26:26.20Z,62.0578387,6.9718433,1246.111,-0.20,0.26,-0.20,3.108,3.801,0.29,3,7
2015-07-03T12:26:26.40Z,62.0578379,6.9718428,1245.913,0.11,0.09,-0.13,3.010,3.732,0.40,3,7
2015-07-03T12:26:26.60Z,62.0578388,6.9718412,1246.094,0.07,0.19,-0.11,2.934,3.664,0.27,3,7
2015-07-03T12:26:26.80Z,62.0578394,6.9718396,1246.201,0.04,-0.02,0.01,2.873,3.602,0.28,3,7
2015-07-03T12:26:27.00Z,62.0578398,6.9718386,1246.343,0.02,-0.13,0.05,2.819,3.543,0.20,3,7
2015-07-03T12:26:27.20Z,62.0578406,6.9718406,1246.947,-0.09,0.29,-0.09,2.748,3.435,0.16,3,7
2015-07-03T12:26:27.40Z,62.0578435,6.9718434,1247.603,-0.01,0.15,-0.04,2.669,3.332,0.14,3,7
2015-07-03T12:26:27.60Z,62.0578441,6.9718449,1247.892,0.03,0.17,0.01,2.602,3.246,0.14,3,7
2015-07-03T12:26:27.80Z,62.0578444,6.9718455,1248.237,-0.03,0.03,0.04,2.545,3.166,0.33,3,7
2015-07-03T12:26:28.00Z,62.0578449,6.9718450,1248.438,-0.07,-0.02,-0.02,2.491,3.093,0.25,3,7
2015-07-03T12:26:28.20Z,62.0578444,6.9718464,1248.699,-0.07,0.15,0.04,2.442,3.022,0.22,3,7
2015-07-03T12:26:28.40Z,62.0578441,6.9718471,1248.954,-0.08,-0.08,0.05,2.391,2.956,0.28,3,7
2015-07-03T12:26:28.60Z,62.0578434,6.9718465,1249.031,-0.01,-0.19,-0.03,2.353,2.921,0.17,3,7
2015-07-03T12:26:28.80Z,62.0578436,6.9718456,1249.026,0.10,-0.22,0.03,2.319,2.898,0.22,3,7
2015-07-03T12:26:29.00Z,62.0578435,6.9718462,1249.029,-0.11,0.17,0.09,2.284,2.869,0.29,3,7
2015-07-03T12:26:29.20Z,62.0578423,6.9718467,1248.945,-0.17,0.21,0.10,2.249,2.836,0.29,3,7
2015-07-03T12:26:29.40Z,62.0578410,6.9718452,1248.885,-0.24,-0.30,0.08,2.217,2.782,0.23,3,7
2015-07-03T12:26:29.60Z,62.0578414,6.9718443,1248.832,-0.02,-0.14,0.13,2.178,2.730,0.21,3,7
2015-07-03T12:26:29.80Z,62.0578421,6.9718448,1248.879,0.06,-0.06,0.12,2.142,2.684,0.21,3,7
2015-07-03T12:26:30.00Z,62.0578422,6.9718458,1248.927,0.10,0.06,0.07,2.109,2.642,0.19,3,7
2015-07-03T12:26:30.20Z,62.0578427,6.9718464,1248.908,-0.05,-0.03,0.06,2.077,2.604,0.30,3,7
2015-07-03T12:26:30.40Z,62.0578435,6.9718471,1248.907,0.04,0.02,0.05,2.046,2.569,0.19,3,7
2015-07-03T12:26:30.60Z,62.0578440,6.9718480,1248.963,-0.03,0.01,0.04,2.016,2.538,0.33,3,7
2015-07-03T12:26:30.80Z,62.0578438,6.9718481,1248.871,-0.03,-0.05,0.12,1.986,2.505,0.28,3,7
2015-07-03T12:26:31.00Z,62.0578431,6.9718479,1248.709,-0.03,-0.01,0.13,1.958,2.473,0.30,3,7
2015-07-03T12:26:31.20Z,62.0578422,6.9718477,1248.616,-0.07,-0.03,0.09,1.931,2.442,0.32,3,7
2015-07-03T12:26:31.40Z,62.0578413,6.9718477,1248.541,-0.10,0.00,0.07,1.905,2.415,0.33,3,7
