time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2015-07-03T12:28:29.20Z,62.0578425,6.9716359,1251.990,-0.25,-0.31,0.49,32.776,34.985,1.66,0.00000,180.00000,3,9
2015-07-03T12:28:29.40Z,62.0578489,6.9716532,1249.003,0.03,-0.24,0.19,19.530,19.647,0.75,0.00000,173.63616,3,11
2015-07-03T12:28:29.60Z,62.0578603,6.9716474,1249.041,-0.21,0.07,0.26,19.825,20.800,0.98,0.00000,173.63622,3,10
2015-07-03T12:28:29.80Z,62.0578598,6.9716550,1250.219,-0.18,0.06,0.08,17.071,18.361,0.86,0.00000,173.63626,3,8
2015-07-03T12:28:30.00Z,62.0578586,6.9716528,1250.532,-0.02,-0.03,-0.05,14.049,15.380,0.36,0.00000,173.63630,3,10
2015-07-03T12:28:30.20Z,62.0578519,6.9716575,1249.576,0.01,-0.04,-0.03,11.791,13.176,0.39,0.00000,173.63632,3,10
2015-07-03T12:28:30.40Z,62.0578490,6.9716547,1248.884,-0.04,-0.03,-0.01,10.468,11.922,0.19,0.00000,173.63634,3,10
2015-07-03T12:28:30.60Z,62.0578519,6.9716516,1249.141,-0.11,-0.06,0.12,9.383,10.952,0.30,0.00000,173.63634,3,10
2015-07-03T12:28:30.80Z,62.0578546,6.9716468,1249.291,-0.07,-0.01,0.11,8.546,10.111,0.31,0.00000,173.63638,3,11
2015-07-03T12:28:31.00Z,62.0578574,6.9716405,1249.714,-0.12,-0.03,0.15,7.856,9.397,0.30,0.00000,173.63640,3,11
2015-07-03T12:28:31.20Z,62.0578546,6.9716456,1249.425,-0.10,0.05,0.16,7.329,8.850,0.32,0.00000,173.63642,3,11
2015-07-03T12:28:31.40Z,62.0578568,6.9716358,1250.023,-0.08,0.03,0.18,6.843,8.383,0.31,0.00000,173.63646,3,11
2015-07-03T12:28:31.60Z,62.0578574,6.9716335,1250.450,-0.11,0.02,0.20,6.415,7.955,0.31,0.00000,173.63648,3,11
2015-07-03T12:28:31.80Z,62.0578613,6.9716248,1251.353,0.24,0.07,0.04,6.036,7.603,0.20,0.00000,173.63650,3,11
2015-07-03T12:28:32.00Z,62.0578599,6.9716248,1251.011,0.62,0.04,0.18,5.357,6.747,0.20,3.45514,17.96654,3,11
2015-07-03T12:28:32.20Z,62.0578581,6.9716240,1250.515,-0.02,-0.16,0.65,4.854,6.031,0.27,3.45514,17.96687,3,10
2015-07-03T12:28:32.40Z,62.0578560,6.9716190,1250.045,0.26,-0.13,0.48,4.557,5.557,0.25,357.73341,36.67281,3,11
2015-07-03T12:28:32.60Z,62.0578559,6.9716145,1249.595,0.06,0.54,0.25,4.256,5.069,0.38,34.18978,42.56451,3,11
2015-07-03T12:28:32.80Z,62.0578538,6.9716146,1249.518,0.16,0.41,-0.16,3.968,4.647,0.16,55.08497,34.58972,3,11
2015-07-03T12:28:33.00Z,62.0578535,6.9716155,1249.503,0.03,0.43,-0.05,3.735,4.329,0.25,69.96724,35.24541,3,11
2015-07-03T12:28:33.20Z,62.0578516,6.9716180,1249.312,0.00,0.10,0.18,3.516,4.078,0.23,69.96724,35.24547,3,11
2015-07-03T12:28:33.40Z,62.0578504,6.9716178,1249.098,0.51,-0.23,-0.07,3.415,3.923,0.31,359.35034,20.38690,3,11
2015-07-03T12:28:33.60Z,62.0578504,6.9716198,1249.291,-0.42,0.57,-0.53,3.250,3.746,0.28,75.76320,16.53138,3,11
2015-07-03T12:28:33.80Z,62.0578503,6.9716208,1249.581,-0.43,0.07,-0.52,3.160,3.633,0.29,91.37773,37.22795,3,11
2015-07-03T12:28:34.00Z,62.0578475,6.9716238,1249.611,-0.26,0.16,-0.44,3.002,3.553,0.23,124.58630,31.64310,3,11
2015-07-03T12:28:34.20Z,62.0578475,6.9716262,1249.906,-0.15,0.08,-0.25,2.846,3.442,0.22,124.58630,31.64319,3,11
2015-07-03T12:28:34.40Z,62.0578495,6.9716221,1249.955,-0.29,0.12,-0.28,2.697,3.321,0.18,142.88588,27.32469,3,11
2015-07-03T12:28:34.60Z,62.0578508,6.9716207,1250.009,0.06,-0.02,-0.19,2.596,3.250,0.29,142.88588,27.32479,3,11
2015-07-03T12:28:34.80Z,62.0578520,6.9716206,1250.138,0.01,0.05,-0.14,2.493,3.165,0.25,142.88588,27.32487,3,11
2015-07-03T12:28:35.00Z,62.0578528,6.9716214,1250.396,0.06,-0.05,-0.07,2.403,3.097,0.28,142.88588,27.32496,3,11
2015-07-03T12:28:35.20Z,62.0578527,6.9716211,1250.458,-0.07,0.01,-0.09,2.321,3.044,0.20,142.88588,27.32503,3,11
2015-07-03T12:28:35.40Z,62.0578517,6.9716203,1250.456,-0.21,0.01,-0.13,2.235,2.986,0.19,153.65000,41.03870,3,11
2015-07-03T12:28:35.60Z,62.0578521,6.9716147,1250.354,0.06,-0.05,0.10,2.165,2.932,0.20,153.65000,41.03875,3,11
2015-07-03T12:28:35.80Z,62.0578529,6.9716095,1250.286,-0.09,-0.13,0.26,2.110,2.882,0.27,153.65000,41.03882,3,11
2015-07-03T12:28:36.00Z,62.0578534,6.9716072,1250.474,0.00,-0.03,-0.01,2.066,2.842,0.19,153.65000,41.03886,3,11
2015-07-03T12:28:36.20Z,62.0578531,6.9716068,1250.331,-0.05,-0.12,0.10,2.024,2.797,0.23,153.65000,41.03891,3,11
2015-07-03T12:28:36.40Z,62.0578518,6.9716075,1250.094,-0.09,-0.05,0.09,1.984,2.751,0.27,153.65000,41.03897,3,11
2015-07-03T12:28:36.60Z,62.0578516,6.9716068,1250.022,0.01,0.03,0.03,1.948,2.708,0.23,153.65000,41.03902,3,11
2015-07-03T12:28:36.80Z,62.0578511,6.9716083,1249.957,-0.05,-0.02,0.05,1.916,2.668,0.28,153.65000,41.03908,3,11
2015-07-03T12:28:37.00Z,62.0578505,6.9716095,1249.765,-0.05,0.05,0.04,1.884,2.627,0.25,153.65000,41.03914,3,11
2015-07-03T12:28:37.20Z,62.0578516,6.9716088,1250.008,-0.02,0.05,0.06,1.854,2.584,0.26,153.65000,41.03919,3,11
2015-07-03T12:28:37.40Z,62.0578518,6.9716096,1250.024,0.04,0.02,0.04,1.829,2.555,0.20,153.65000,41.03923,3,11
2015-07-03T12:28:37.60Z,62.0578513,6.9716102,1250.002,-0.07,0.03,0.10,1.799,2.511,0.27,153.65000,41.03929,3,11
2015-07-03T12:28:37.80Z,62.0578511,6.9716101,1250.024,0.00,0.03,-0.04,1.778,2.489,0.23,153.65000,41.03934,3,11
2015-07-03T12:28:38.00Z,62.0578506,6.9716105,1249.913,0.01,0.08,0.10,1.763,2.473,0.27,153.65000,41.03940,3,11
2015-07-03T12:28:38.20Z,62.0578502,6.9716101,1249.833,-0.03,-0.03,0.18,1.751,2.460,0.29,153.65000,41.03946,3,11
2015-07-03T12:28:38.40Z,62.0578500,6.9716100,1249.804,-0.14,0.05,0.10,1.740,2.449,0.30,153.65000,41.03953,3,11
2015-07-03T12:28:38.60Z,62.0578502,6.9716096,1249.851,-0.02,-0.03,0.04,1.731,2.440,0.26,153.65000,41.03959,3,11
2015-07-03T12:28:38.80Z,62.0578505,6.9716097,1249.875,-0.05,0.08,0.05,1.720,2.426,0.30,153.65000,41.03965,3,11
2015-07-03T12:28:39.00Z,62.0578507,6.9716099,1249.927,-0.01,0.01,0.05,1.710,2.414,0.31,153.65000,41.03972,3,11
2015-07-03T12:28:39.20Z,62.0578507,6.9716100,1249.958,-0.13,0.01,0.09,1.701,2.406,0.30,153.65000,41.03978,3,11
2015-07-03T12:28:39.40Z,62.0578511,6.9716100,1250.069,-0.01,0.00,0.03,1.691,2.396,0.34,153.65000,41.03986,3,11
2015-07-03T12:28:39.60Z,62.0578511,6.9716098,1249.973,-0.03,-0.01,0.13,1.683,2.384,0.33,153.65000,41.03993,3,11
2015-07-03T12:28:39.80Z,62.0578509,6.9716099,1249.925,-0.06,0.07,0.11,1.678,2.381,0.35,153.65000,41.04001,3,11
2015-07-03T12:28:40.00Z,62.0578511,6.9716089,1249.914,0.10,-0.02,0.02,1.669,2.372,0.21,153.65000,41.04006,3,11
2015-07-03T12:28:40.20Z,62.0578510,6.9716084,1249.921,0.01,-0.04,0.03,1.662,2.367,0.22,153.65000,41.04011,3,11
2015-07-03T12:28:40.40Z,62.0578508,6.9716080,1250.015,-0.15,0.00,-0.04,1.654,2.360,0.19,153.65000,41.04015,3,11
2015-07-03T12:28:40.60Z,62.0578505,6.9716079,1250.100,-0.12,0.00,-0.03,1.644,2.352,0.17,153.65000,41.04019,3,11
2015-07-03T12:28:40.80Z,62.0578500,6.9716080,1250.182,-0.15,0.11,-0.22,1.636,2.347,0.28,153.65000,41.04026,3,11
2015-07-03T12:28:41.00Z,62.0578497,6.9716075,1250.144,-0.01,-0.04,-0.07,1.626,2.342,0.33,153.65000,41.04033,3,11
2015-07-03T12:28:41.20Z,62.0578493,6.9716071,1250.147,-0.07,-0.01,-0.04,1.616,2.334,0.20,153.65000,41.04037,3,11
