time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2015-07-03T12:29:24.60Z,62.0578325,6.9719673,1241.707,0.78,-0.18,1.00,35.091,42.419,1.78,0.00000,137.35662,3,7
2015-07-03T12:29:24.80Z,62.0578036,6.9719389,1239.872,0.76,-0.39,0.34,20.920,23.038,0.37,0.00000,137.35670,3,8
2015-07-03T12:29:25.00Z,62.0578078,6.9719112,1241.317,0.56,0.83,0.68,18.520,21.837,0.46,53.47945,29.67587,3,8
2015-07-03T12:29:25.20Z,62.0578082,6.9719087,1241.307,0.66,0.68,0.10,15.464,18.249,0.41,50.82244,40.38071,3,8
2015-07-03T12:29:25.40Z,62.0578133,6.9718967,1242.635,0.13,-0.16,-0.09,12.690,15.576,0.43,50.82244,40.38081,3,9
2015-07-03T12:29:25.60Z,62.0578124,6.9718968,1242.978,0.22,0.80,-0.33,11.371,13.742,0.42,65.75801,31.01279,3,9
2015-07-03T12:29:25.80Z,62.0578168,6.9718990,1244.095,0.13,0.09,-0.33,9.744,11.961,0.37,65.75801,31.01290,3,9
2015-07-03T12:29:26.00Z,62.0578182,6.9718909,1244.752,0.24,-0.02,-0.13,8.127,9.903,0.31,65.75801,31.01299,3,9
2015-07-03T12:29:26.20Z,62.0578254,6.9718777,1246.375,0.43,-0.04,-0.02,6.976,8.279,0.29,30.85955,31.83466,3,8
2015-07-03T12:29:26.40Z,62.0578303,6.9718687,1247.736,0.18,0.01,0.09,6.361,7.531,0.23,30.85955,31.83473,3,9
2015-07-03T12:29:26.60Z,62.0578345,6.9718588,1247.847,0.03,0.12,0.16,5.869,6.921,0.25,30.85955,31.83480,3,10
2015-07-03T12:29:26.80Z,62.0578325,6.9718638,1247.381,-0.08,0.20,0.24,5.485,6.436,0.29,30.85955,31.83489,3,9
2015-07-03T12:29:27.00Z,62.0578304,6.9718675,1246.906,0.00,0.15,0.31,5.142,6.021,0.28,30.85955,31.83499,3,10
2015-07-03T12:29:27.20Z,62.0578309,6.9718643,1246.906,0.07,0.13,0.32,4.703,5.396,0.25,30.85955,31.83509,3,10
2015-07-03T12:29:27.40Z,62.0578309,6.9718603,1246.772,0.04,0.05,0.47,4.380,4.968,0.24,30.85955,31.83522,3,10
2015-07-03T12:29:27.60Z,62.0578319,6.9718506,1247.332,-0.07,-0.01,0.26,4.033,4.532,0.27,30.85955,31.83530,3,10
