time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2015-07-03T12:31:03.00Z,62.0578543,6.9715570,1236.362,0.11,-0.48,-0.23,79.441,114.723,3.22,0.00000,180.00000,3,7
2015-07-03T12:31:03.20Z,62.0579326,6.9715954,1252.522,-0.18,-0.68,-0.03,46.806,62.014,0.83,0.00000,176.06704,3,7
2015-07-03T12:31:03.40Z,62.0578836,6.9715968,1247.198,-0.04,-0.61,-0.11,35.113,45.735,1.09,0.00000,180.00000,3,7
2015-07-03T12:31:03.60Z,62.0578698,6.9716019,1245.084,-0.07,-0.37,-0.04,28.360,36.673,1.06,0.00000,180.00000,3,7
2015-07-03T12:31:03.80Z,62.0578855,6.9716043,1248.497,-0.10,-0.06,0.02,22.890,27.274,1.85,0.00000,180.00000,3,6
2015-07-03T12:31:04.00Z,62.0578908,6.9716279,1249.984,-0.05,0.00,-0.01,19.631,22.011,1.59,0.00000,180.00000,3,7
2015-07-03T12:31:04.20Z,62.0578953,6.9716349,1251.773,-0.03,0.04,-0.02,17.347,18.485,1.09,0.00000,180.00000,3,8
2015-07-03T12:31:04.40Z,62.0578962,6.9716365,1251.889,-0.05,0.05,0.02,15.393,15.628,1.35,0.00000,180.00000,3,8
2015-07-03T12:31:04.60Z,62.0579011,6.9716407,1252.506,-0.01,0.12,-0.03,13.529,13.165,0.81,0.00000,180.00000,3,9
2015-07-03T12:31:04.80Z,62.0579017,6.9716319,1251.880,0.09,0.25,-0.16,11.575,11.157,1.01,0.00000,180.00000,3,10
2015-07-03T12:31:05.00Z,62.0579045,6.9716344,1251.346,0.00,0.38,-0.05,10.164,9.676,0.75,0.00000,176.79614,3,10
2015-07-03T12:31:05.20Z,62.0579104,6.9716161,1251.885,-0.03,0.18,0.00,8.964,8.500,0.72,0.00000,180.00000,3,10
2015-07-03T12:31:05.40Z,62.0579125,6.9716141,1251.317,0.13,0.10,-0.06,7.784,7.775,0.98,0.00000,180.00000,3,10
2015-07-03T12:31:05.60Z,62.0579095,6.9716179,1251.032,0.11,-0.04,-0.03,6.998,7.386,1.16,0.00000,180.00000,3,10
2015-07-03T12:31:05.80Z,62.0579078,6.9716165,1250.481,0.08,-0.02,0.03,6.338,6.968,0.93,0.00000,180.00000,3,10
2015-07-03T12:31:06.00Z,62.0579090,6.9716149,1250.133,0.01,-0.08,0.07,5.863,6.624,0.72,0.00000,180.00000,3,10
2015-07-03T12:31:06.20Z,62.0579051,6.9716175,1249.787,0.09,-0.13,0.06,5.500,6.336,0.81,0.00000,180.00000,3,10
2015-07-03T12:31:06.40Z,62.0579035,6.9716211,1249.566,0.03,-0.16,0.04,5.213,6.083,0.76,0.00000,180.00000,3,10
2015-07-03T12:31:06.60Z,62.0579006,6.9716201,1249.647,-0.16,-0.24,0.05,4.937,5.747,0.75,0.00000,180.00000,3,10
2015-07-03T12:31:06.80Z,62.0579005,6.9716223,1249.690,-0.09,-0.02,0.04,4.645,5.419,1.01,0.00000,180.00000,3,10
2015-07-03T12:31:07.00Z,62.0578997,6.9716248,1249.268,-0.11,-0.08,0.09,4.366,5.111,0.90,0.00000,180.00000,3,10
2015-07-03T12:31:07.20Z,62.0579002,6.9716302,1248.847,-0.04,-0.08,0.11,4.125,4.851,0.78,0.00000,180.00000,3,10
2015-07-03T12:31:07.40Z,62.0579006,6.9716312,1248.983,-0.12,-0.12,0.06,3.916,4.624,0.85,0.00000,180.00000,3,10
2015-07-03T12:31:07.60Z,62.0579022,6.9716303,1249.152,-0.03,0.00,0.03,3.729,4.429,0.92,0.00000,180.00000,3,10
2015-07-03T12:31:07.80Z,62.0579034,6.9716320,1248.953,0.05,0.10,0.04,3.568,4.264,0.68,0.00000,180.00000,3,10
2015-07-03T12:31:08.00Z,62.0579051,6.9716332,1249.087,-0.03,-0.01,0.04,3.427,4.117,0.88,0.00000,180.00000,3,10
2015-07-03T12:31:08.20Z,62.0579066,6.9716333,1249.062,-0.03,-0.05,0.08,3.300,3.990,0.77,0.00000,180.00000,3,10
2015-07-03T12:31:08.40Z,62.0579071,6.9716339,1249.232,-0.09,0.03,0.06,3.191,3.879,0.91,0.00000,180.00000,3,10
2015-07-03T12:31:08.60Z,62.0579073,6.9716345,1249.089,-0.17,-0.13,0.11,3.098,3.784,0.88,0.00000,180.00000,3,10
2015-07-03T12:31:08.80Z,62.0579076,6.9716336,1249.180,-0.14,-0.08,0.13,3.014,3.700,0.88,0.00000,180.00000,3,10
2015-07-03T12:31:09.00Z,62.0579088,6.9716343,1249.262,-0.11,-0.11,0.14,2.945,3.632,0.84,0.00000,180.00000,3,10
2015-07-03T12:31:09.20Z,62.0579108,6.9716344,1249.319,-0.03,-0.15,0.16,2.885,3.573,0.72,0.00000,180.00000,3,10
2015-07-03T12:31:09.40Z,62.0579110,6.9716349,1249.320,-0.07,-0.08,0.17,2.830,3.519,0.79,0.00000,180.00000,3,10
2015-07-03T12:31:09.60Z,62.0579107,6.9716369,1249.357,-0.03,-0.08,0.17,2.782,3.473,0.74,0.00000,180.00000,3,10
2015-07-03T12:31:09.80Z,62.0579111,6.9716371,1249.424,0.01,-0.13,0.18,2.738,3.433,0.70,0.00000,180.00000,3,10
