INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING,VOX
1302 ,T,140613,074206,56.792988N,037.283489E,3888 ,177 ,71 ,
1303 ,T,140613,074207,56.793113N,037.284271E,3890 ,180 ,72 ,
1304 ,T,140613,074208,56.793246N,037.285051E,3892 ,179 ,71 ,
1305 ,T,140613,074209,56.793389N,037.285811E,3894 ,175 ,71 ,
1306 ,T,140613,074210,56.793538N,037.286560E,3896 ,175 ,70 ,
1307 ,T,140613,074211,56.793684N,037.287320E,3897 ,178 ,70 ,
1308 ,T,140613,074212,56.793823N,037.288090E,3899 ,177 ,70 ,
1309 ,T,140613,074213,56.793958N,037.288864E,3900 ,178 ,71 ,
1310 ,T,140613,074214,56.794096N,037.289641E,3902 ,180 ,70 ,
1311 ,T,140613,074215,56.794225N,037.290433E,3903 ,181 ,71 ,
1312 ,T,140613,074216,56.794344N,037.291221E,3904 ,181 ,72 ,
1313 ,T,140613,074217,56.794478N,037.291998E,3905 ,180 ,71 ,
1314 ,T,140613,074218,56.794613N,037.292754E,3905 ,174 ,71 ,
1315 ,T,140613,074219,56.794751N,037.293511E,3906 ,176 ,71 ,
1316 ,T,140613,074220,56.794881N,037.294278E,3906 ,178 ,72 ,
1317 ,T,140613,074221,56.795018N,037.295055E,3906 ,180 ,72 ,
1318 ,T,140613,074222,56.795156N,037.295841E,3907 ,181 ,71 ,
1319 ,T,140613,074223,56.795301N,037.296619E,3907 ,180 ,70 ,
1320 ,T,140613,074224,56.795444N,037.297400E,3907 ,181 ,71 ,
1321 ,T,140613,074225,56.795589N,037.298183E,3907 ,181 ,70 ,
1322 ,T,140613,074226,56.795726N,037.298973E,3907 ,181 ,71 ,
1323 ,T,140613,074227,56.795865N,037.299766E,3906 ,183 ,72 ,
1324 ,T,140613,074228,56.796000N,037.300568E,3906 ,183 ,72 ,
1325 ,T,140613,074231,56.796434N,037.302943E,3905 ,183 ,71 ,
1326 ,T,140613,074232,56.796576N,037.303740E,3905 ,183 ,71 ,
1327 ,T,140613,074233,56.796716N,037.304546E,3905 ,185 ,71 ,
1328 ,T,140613,074234,56.796849N,037.305353E,3904 ,183 ,72 ,
1329 ,T,140613,074235,56.796993N,037.306156E,3904 ,184 ,72 ,
1330 ,T,140613,074236,56.797118N,037.306981E,3904 ,188 ,72 ,
1331 ,T,140613,074237,56.797256N,037.307801E,3904 ,186 ,72 ,
1332 ,T,140613,074238,56.797393N,037.308630E,3903 ,190 ,73 ,
1333 ,T,140613,074239,56.797534N,037.309463E,3903 ,189 ,72 ,
1334 ,T,140613,074240,56.797668N,037.310309E,3902 ,192 ,73 ,
1335 ,T,140613,074241,56.797801N,037.311153E,3901 ,190 ,73 ,
1336 ,T,140613,074242,56.797943N,037.311996E,3900 ,194 ,72 ,
1337 ,T,140613,074243,56.798081N,037.312845E,3899 ,193 ,73 ,
1338 ,T,140613,074244,56.798223N,037.313686E,3899 ,192 ,73 ,
1339 ,T,140613,074245,56.798364N,037.314526E,3898 ,193 ,73 ,
1340 ,T,140613,074246,56.798503N,037.315381E,3897 ,194 ,73 ,
1341 ,T,140613,074247,56.798644N,037.316223E,3896 ,192 ,73 ,
1342 ,T,140613,074248,56.798791N,037.317064E,3895 ,193 ,72 ,
1343 ,T,140613,074249,56.798938N,037.317901E,3894 ,192 ,72 ,
1344 ,T,140613,074250,56.799078N,037.318736E,3894 ,191 ,72 ,
1345 ,T,140613,074251,56.799218N,037.319573E,3894 ,191 ,72 ,
1346 ,T,140613,074252,56.799359N,037.320401E,3893 ,189 ,72 ,
1347 ,T,140613,074253,56.799501N,037.321230E,3893 ,190 ,72 ,
1348 ,T,140613,074254,56.799644N,037.322044E,3893 ,185 ,71 ,
1349 ,T,140613,074255,56.799771N,037.322793E,3893 ,157 ,71 ,
1350 ,T,140613,074256,56.799871N,037.323414E,3892 ,128 ,63 ,
1351 ,T,140613,074257,56.799938N,037.323964E,3890 ,116 ,69 ,
1352 ,T,140613,074258,56.800015N,037.324441E,3887 ,102 ,72 ,
1353 ,T,140613,074259,56.800041N,037.324898E,3882 ,99 ,76 ,
1354 ,T,140613,074300,56.800071N,037.325286E,3874 ,84 ,79 ,
1355 ,T,140613,074301,56.800093N,037.325626E,3864 ,73 ,82 ,
1356 ,T,140613,074302,56.800098N,037.325925E,3852 ,66 ,87 ,
1357 ,T,140613,074303,56.800068N,037.326201E,3836 ,64 ,96 ,
1358 ,T,140613,074304,56.800009N,037.326461E,3818 ,64 ,105,
1359 ,T,140613,074305,56.799918N,037.326708E,3797 ,66 ,115,
1360 ,T,140613,074306,56.799800N,037.326936E,3773 ,71 ,125,
1361 ,T,140613,074307,56.799656N,037.327155E,3747 ,77 ,133,
1362 ,T,140613,074308,56.799484N,037.327363E,3718 ,83 ,139,
1363 ,T,140613,074309,56.799291N,037.327563E,3686 ,90 ,145,
1364 ,T,140613,074310,56.799081N,037.327761E,3652 ,95 ,148,
1365 ,T,140613,074311,56.798859N,037.327968E,3617 ,100 ,150,
1366 ,T,140613,074312,56.798628N,037.328176E,3579 ,104 ,152,
1367 ,T,140613,074313,56.798384N,037.328385E,3541 ,107 ,153,
1368 ,T,140613,074314,56.798136N,037.328598E,3501 ,109 ,153,
1369 ,T,140613,074315,56.797883N,037.328816E,3459 ,112 ,153,
1370 ,T,140613,074316,56.797620N,037.329045E,3417 ,116 ,153,
1371 ,T,140613,074317,56.797350N,037.329286E,3374 ,118 ,153,
1372 ,T,140613,074318,56.797076N,037.329533E,3331 ,121 ,153,
1373 ,T,140613,074319,56.796801N,037.329773E,3287 ,121 ,154,
1374 ,T,140613,074320,56.796520N,037.329999E,3242 ,121 ,155,
1375 ,T,140613,074321,56.796238N,037.330218E,3197 ,120 ,156,
1376 ,T,140613,074322,56.795958N,037.330421E,3152 ,120 ,157,
1377 ,T,140613,074323,56.795678N,037.330605E,3107 ,117 ,159,
1378 ,T,140613,074324,56.795399N,037.330754E,3062 ,111 ,162,
1379 ,T,140613,074325,56.795133N,037.330848E,3017 ,103 ,166,
1380 ,T,140613,074326,56.794886N,037.330885E,2972 ,94 ,172,
1381 ,T,140613,074327,56.794661N,037.330863E,2926 ,86 ,179,
1382 ,T,140613,074328,56.794455N,037.330778E,2880 ,81 ,187,
1383 ,T,140613,074329,56.794265N,037.330645E,2834 ,78 ,196,
1384 ,T,140613,074330,56.794093N,037.330471E,2787 ,76 ,203,
1385 ,T,140613,074332,56.793781N,037.330028E,2691 ,78 ,216,
1386 ,T,140613,074333,56.793644N,037.329761E,2643 ,79 ,222,
1387 ,T,140613,074334,56.793520N,037.329469E,2595 ,80 ,228,
1388 ,T,140613,074335,56.793403N,037.329150E,2546 ,84 ,233,
1389 ,T,140613,074336,56.793298N,037.328809E,2496 ,84 ,237,
1390 ,T,140613,074337,56.793201N,037.328456E,2447 ,84 ,240,
1391 ,T,140613,074338,56.793106N,037.328101E,2397 ,84 ,242,
1392 ,T,140613,074339,56.793016N,037.327743E,2348 ,83 ,243,
1393 ,T,140613,074340,56.792936N,037.327406E,2298 ,74 ,245,
1394 ,T,140613,074341,56.792869N,037.327105E,2249 ,66 ,245,
1395 ,T,140613,074342,56.792809N,037.326839E,2200 ,57 ,247,
1396 ,T,140613,074343,56.792763N,037.326611E,2151 ,48 ,247,
1397 ,T,140613,074344,56.792724N,037.326416E,2102 ,42 ,249,
1398 ,T,140613,074345,56.792696N,037.326248E,2053 ,35 ,251,
1399 ,T,140613,074346,56.792678N,037.326106E,2004 ,30 ,253,
1400 ,T,140613,074347,56.792666N,037.325979E,1955 ,26 ,256,
1401 ,T,140613,074348,56.792661N,037.325865E,1906 ,24 ,261,
1402 ,T,140613,074349,56.792661N,037.325763E,1858 ,19 ,265,
1403 ,T,140613,074350,56.792678N,037.325663E,1809 ,28 ,303,
1404 ,T,140613,074351,56.792723N,037.325586E,1760 ,17 ,309,
1405 ,T,140613,074352,56.792771N,037.325543E,1712 ,22 ,345,
1406 ,T,140613,074353,56.792893N,037.325476E,1665 ,33 ,0 ,
1407 ,T,140613,074354,56.793040N,037.325479E,1620 ,43 ,6 ,
1408 ,T,140613,074355,56.793168N,037.325579E,1578 ,53 ,36 ,
1409 ,T,140613,074356,56.793265N,037.325736E,1538 ,48 ,44 ,
1410 ,T,140613,074357,56.793321N,037.325918E,1501 ,38 ,70 ,
1411 ,T,140613,074358,56.793371N,037.326069E,1468 ,35 ,69 ,
1412 ,T,140613,074359,56.793428N,037.326221E,1438 ,38 ,68 ,
1413 ,T,140613,074400,56.793499N,037.326348E,1410 ,43 ,43 ,
1414 ,T,140613,074401,56.793551N,037.326491E,1385 ,39 ,44 ,
1415 ,T,140613,074402,56.793605N,037.326646E,1362 ,39 ,45 ,
1416 ,T,140613,074403,56.793656N,037.326801E,1341 ,39 ,46 ,
1417 ,T,140613,074404,56.793733N,037.326935E,1322 ,42 ,41 ,
1418 ,T,140613,074405,56.793831N,037.327040E,1304 ,47 ,33 ,
1419 ,T,140613,074406,56.793946N,037.327119E,1288 ,49 ,27 ,
1420 ,T,140613,074407,56.794063N,037.327206E,1272 ,49 ,25 ,
1421 ,T,140613,074408,56.794178N,037.327298E,1258 ,48 ,26 ,
1422 ,T,140613,074409,56.794288N,037.327409E,1245 ,48 ,29 ,
1423 ,T,140613,074410,56.794391N,037.327530E,1232 ,47 ,32 ,
1424 ,T,140613,074411,56.794491N,037.327658E,1221 ,46 ,34 ,
1425 ,T,140613,074412,56.794585N,037.327786E,1210 ,45 ,36 ,
1426 ,T,140613,074413,56.794675N,037.327923E,1200 ,45 ,39 ,
1427 ,T,140613,074414,56.794759N,037.328056E,1190 ,42 ,40 ,
1428 ,T,140613,074415,56.794846N,037.328194E,1181 ,44 ,41 ,
