time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,,
2014-07-19T17:33:34.00Z,53.6227885,-114.1942689,4579.215,0.39,-30.43,6.66,458.010,114.266,2.77,0.00000,45.42445,3,4
2014-07-19T17:33:35.50Z,53.6225663,-114.1950870,4584.463,-0.69,-30.33,7.27,167.929,80.843,2.22,268.70266,23.20872,3,4
2014-07-19T17:33:35.80Z,53.6225112,-114.1952444,4583.624,-2.98,-30.27,7.92,146.135,64.023,2.92,264.37832,20.61864,3,4
2014-07-19T17:33:35.90Z,53.6224519,-114.1953196,4585.653,-5.40,-30.77,7.65,136.216,55.298,3.23,260.04994,18.10014,3,4
2014-07-19T17:33:36.00Z,53.6224236,-114.1953740,4585.779,-5.43,-30.30,8.51,129.887,50.119,3.13,259.83309,17.40187,3,4
2014-07-19T17:33:36.10Z,53.6224022,-114.1954275,4585.985,-5.18,-29.96,7.96,124.919,46.331,3.02,260.19426,16.78167,3,4
2014-07-19T17:33:36.20Z,53.6223724,-114.1954863,4587.102,-4.92,-30.14,7.22,121.230,43.906,2.72,260.73842,16.05026,3,4
2014-07-19T17:33:36.30Z,53.6223557,-114.1955426,4587.808,-3.60,-30.61,6.97,118.045,41.885,2.40,263.30009,15.71881,3,4
2014-07-19T17:33:36.40Z,53.6223373,-114.1955964,4588.364,-3.31,-30.32,5.73,115.086,40.066,2.40,263.76280,15.49477,3,4
2014-07-19T17:33:36.50Z,53.6223184,-114.1956503,4588.927,-3.23,-30.30,4.92,112.406,38.489,2.41,263.92178,15.16268,3,4
2014-07-19T17:33:36.60Z,53.6223084,-114.1957029,4588.941,-2.98,-31.46,4.49,109.965,37.182,2.41,264.58858,14.15451,3,4
2014-07-19T17:33:36.70Z,53.6223003,-114.1957542,4588.640,-2.90,-31.32,4.56,107.843,36.137,2.47,264.70853,13.86353,3,4
2014-07-19T17:33:36.80Z,53.6222962,-114.1958054,4588.300,-2.40,-30.83,5.17,105.623,34.901,2.19,265.54041,13.79400,3,4
2014-07-19T17:33:36.90Z,53.6222961,-114.1958533,4587.644,-2.04,-30.61,5.78,103.567,33.798,2.08,266.19342,13.64011,3,4
2014-07-19T17:33:37.00Z,53.6222936,-114.1959015,4587.033,-1.90,-30.43,6.14,101.653,32.803,2.04,266.43329,13.47233,3,4
2014-07-19T17:33:37.10Z,53.6222845,-114.1959515,4586.684,-2.38,-30.25,6.15,99.910,31.961,2.09,265.50854,13.26598,3,4
2014-07-19T17:33:37.20Z,53.6222821,-114.1959987,4585.970,-2.35,-30.22,6.63,98.178,31.172,2.06,265.55528,13.07007,3,4
2014-07-19T17:33:37.30Z,53.6222814,-114.1960454,4585.216,-2.15,-30.37,6.91,96.544,30.442,2.02,265.94815,12.83963,3,4
2014-07-19T17:33:37.40Z,53.6222840,-114.1960934,4584.612,-0.89,-30.96,7.34,94.931,29.776,1.94,268.35657,12.56312,3,4
2014-07-19T17:33:37.50Z,53.6222820,-114.1961417,4583.990,-0.54,-31.07,7.07,93.275,29.131,1.92,269.01124,12.32843,3,4
2014-07-19T17:33:37.60Z,53.6222802,-114.1961903,4583.416,-0.37,-30.90,6.99,91.669,28.498,1.84,269.30616,12.09575,3,4
2014-07-19T17:33:37.70Z,53.6222828,-114.1962366,4582.658,0.21,-30.42,7.28,90.122,27.898,1.71,270.39077,11.95939,3,4
2014-07-19T17:33:37.80Z,53.6222805,-114.1962848,4582.175,0.50,-30.16,7.34,88.621,27.296,1.67,270.95647,11.82429,3,4
2014-07-19T17:33:37.90Z,53.6222797,-114.1963329,4581.685,0.95,-30.14,7.50,87.218,26.732,1.63,271.80625,11.68725,3,4
2014-07-19T17:33:38.00Z,53.6222813,-114.1963789,4580.960,1.43,-30.08,7.68,85.913,26.234,1.56,272.72804,11.56333,3,4
2014-07-19T17:33:38.10Z,53.6222828,-114.1964249,4580.251,1.70,-30.00,7.66,84.669,25.764,1.57,273.24115,11.48237,3,4
