time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),,,
2017-11-11T12:35:21.50Z,46.0227739,10.9207731,1437.665,1.10,0.20,1.98,88.354,126.603,9.74,3,6
2017-11-11T12:35:22.00Z,46.0229230,10.9207239,1406.920,0.10,0.15,0.72,28.727,31.846,1.59,3,7
2017-11-11T12:35:22.60Z,46.0229477,10.9207026,1391.510,-0.48,0.36,-0.19,16.099,18.884,0.68,3,7
2017-11-11T12:35:22.80Z,46.0229469,10.9206872,1390.263,-0.28,-0.08,-0.13,14.851,16.491,0.44,3,7
2017-11-11T12:35:23.00Z,46.0229441,10.9206742,1389.839,0.10,-0.02,-0.01,13.669,14.637,0.43,3,7
2017-11-11T12:35:23.20Z,46.0229451,10.9206800,1388.787,-0.02,0.05,0.06,12.713,13.236,0.33,3,7
2017-11-11T12:35:23.40Z,46.0229504,10.9206830,1386.630,0.10,-0.17,0.15,11.852,12.179,0.45,3,7
2017-11-11T12:35:23.60Z,46.0229508,10.9206818,1385.564,0.01,-0.16,0.19,11.070,11.311,0.38,3,7
2017-11-11T12:35:23.80Z,46.0229464,10.9206909,1386.406,0.08,-0.13,0.16,9.888,9.918,0.42,3,8
2017-11-11T12:35:24.00Z,46.0229375,10.9206994,1387.468,-0.04,-0.17,0.17,9.015,8.948,0.36,3,8
2017-11-11T12:35:24.20Z,46.0229189,10.9207233,1388.428,0.11,-0.27,0.18,7.685,8.220,0.41,3,8
2017-11-11T12:35:24.40Z,46.0229141,10.9207333,1388.899,0.13,-0.20,0.22,6.806,7.641,0.40,3,8
2017-11-11T12:35:24.60Z,46.0229089,10.9207357,1389.965,0.04,-0.15,0.23,6.249,7.173,0.33,3,8
2017-11-11T12:35:24.80Z,46.0229042,10.9207357,1390.331,0.03,-0.08,0.17,5.825,6.784,0.31,3,8
2017-11-11T12:35:25.00Z,46.0229043,10.9207337,1390.393,0.05,-0.12,0.17,5.482,6.453,0.32,3,8
2017-11-11T12:35:25.20Z,46.0229042,10.9207328,1390.379,0.00,-0.07,0.18,5.233,6.163,0.29,3,8
2017-11-11T12:35:25.40Z,46.0229045,10.9207310,1390.539,0.06,-0.12,0.15,4.960,5.900,0.32,3,8
2017-11-11T12:35:25.60Z,46.0229055,10.9207296,1390.701,-0.01,0.02,0.14,4.737,5.680,0.28,3,8
2017-11-11T12:35:25.80Z,46.0229015,10.9207359,1390.910,0.05,-0.04,0.07,4.543,5.480,0.32,3,8
2017-11-11T12:35:26.00Z,46.0228990,10.9207388,1391.363,-0.04,0.00,0.07,4.381,5.299,0.25,3,8
2017-11-11T12:35:26.20Z,46.0228962,10.9207418,1391.805,0.03,-0.04,0.06,4.259,5.141,0.32,3,8
2017-11-11T12:35:26.40Z,46.0228960,10.9207424,1391.927,0.02,0.06,0.07,4.165,5.049,0.27,3,8
2017-11-11T12:35:26.60Z,46.0228966,10.9207408,1392.002,0.01,-0.08,0.07,4.036,4.910,0.30,3,8
2017-11-11T12:35:26.80Z,46.0228961,10.9207400,1391.946,0.06,-0.03,0.03,3.925,4.823,0.30,3,8
2017-11-11T12:35:27.00Z,46.0228970,10.9207381,1391.892,0.10,-0.05,0.07,3.848,4.699,0.32,3,8
2017-11-11T12:35:27.20Z,46.0228973,10.9207366,1391.840,-0.02,0.00,0.06,3.783,4.580,0.25,3,8
2017-11-11T12:35:27.40Z,46.0228973,10.9207356,1391.833,0.05,-0.07,-0.02,3.718,4.469,0.30,3,7
2017-11-11T12:35:27.60Z,46.0228978,10.9207329,1391.721,0.21,-0.13,-0.04,3.650,4.377,0.40,3,8
2017-11-11T12:35:27.80Z,46.0228995,10.9207280,1391.538,0.66,-0.43,-0.11,3.587,4.294,0.45,3,8
2017-11-11T12:35:28.00Z,46.0228999,10.9207252,1391.292,0.16,-0.13,-0.06,3.530,4.222,0.52,3,7
2017-11-11T12:35:28.20Z,46.0229006,10.9207223,1391.147,0.04,-0.05,-0.07,3.479,4.152,0.37,3,8
2017-11-11T12:35:28.40Z,46.0229011,10.9207199,1391.086,0.04,-0.03,-0.06,3.440,4.091,0.55,3,8
2017-11-11T12:35:28.60Z,46.0229014,10.9207178,1390.986,-0.04,0.02,-0.06,3.402,4.036,0.33,3,8
2017-11-11T12:35:28.80Z,46.0229020,10.9207153,1390.872,0.04,0.01,-0.02,3.367,3.978,0.42,3,8
2017-11-11T12:35:29.00Z,46.0229030,10.9207119,1390.726,0.05,-0.10,0.01,3.333,3.920,0.55,3,8
2017-11-11T12:35:29.20Z,46.0229034,10.9207096,1390.605,0.01,-0.05,0.06,3.299,3.868,0.31,3,8
2017-11-11T12:35:29.40Z,46.0229040,10.9207071,1390.490,0.00,-0.06,0.03,3.267,3.819,0.29,3,8
2017-11-11T12:35:29.60Z,46.0229043,10.9207054,1390.407,0.02,0.01,0.07,3.232,3.763,0.26,3,8
2017-11-11T12:35:29.80Z,46.0229049,10.9207042,1390.451,0.03,-0.02,0.08,3.193,3.711,0.29,3,7
2017-11-11T12:35:30.00Z,46.0229050,10.9207031,1390.450,-0.01,-0.03,0.07,3.153,3.652,0.25,3,7
